representation,iso3,Country,m49_subregion,observed,M0star_cv_prediction,M1b_cv_prediction,M0star_abs_error,M1b_abs_error,M0star_unseen_levels,M1b_unseen_levels,abs_error_change
primary_total_co2,SVK,Slovakia,Eastern Europe,0.17135924127324334,0.2375703156693219,0.2380605405720428,0.06621107439607857,0.06670129929879945,0,0,0.0004902249027208816
primary_total_co2,SVN,Slovenia,Southern Europe,0.2104092831778439,0.19999387592512324,0.19980507631399996,0.010415407252720665,0.010604206863843946,0,0,0.00018879961112328036
primary_total_co2,ESP,Spain,Southern Europe,0.19118695961871326,0.1624962436915376,0.1617369996425362,0.028690715927175675,0.029449959976177054,0,0,0.0007592440490013785
primary_total_co2,SWE,Sweden,Northern Europe,0.21924683880167534,0.19851480935481314,0.19851427198542454,0.0207320294468622,0.020732566816250797,0,0,5.373693885979414e-07
primary_total_co2,CHE,Switzerland,Western Europe,0.20255138935875544,0.19973187051640945,0.1997255613027623,0.0028195188423459916,0.0028258280559931293,0,0,6.309213647137657e-06
primary_total_co2,UKR,Ukraine,Eastern Europe,0.17767865721146503,0.21628757784750396,0.2170403320772275,0.038608920636038935,0.039361674865762475,0,0,0.0007527542297235401
primary_total_co2,GBR,United Kingdom,Northern Europe,0.16309409461298247,0.17324478239507207,0.17404309809897572,0.010150687782089607,0.010949003485993258,0,0,0.0007983157039036515
primary_total_co2,BHS,Bahamas,Caribbean,0.13991083211606994,0.13276138919579752,0.13230130185166916,0.00714944292027242,0.007609530264400782,0,0,0.0004600873441283626
primary_total_co2,CAN,Canada,Northern America,0.2521930060529909,0.1658474375433967,0.16514080706041595,0.08634556850959418,0.08705219899257494,0,0,0.0007066304829807524
primary_total_co2,CRI,Costa Rica,Central America,0.10130466192673268,0.13183365111640802,0.1318278003538234,0.030528989189675337,0.03052313842709073,0,0,-5.85076258460826e-06
primary_total_co2,CUB,Cuba,Caribbean,0.12305617676307766,0.11461085916408306,0.1144666939330343,0.008445317598994598,0.008589482830043363,0,0,0.0001441652310487651
primary_total_co2,DOM,Dominican Republic,Caribbean,0.15478420047944152,0.09319231787767449,0.09290352921506995,0.06159188260176704,0.06188067126437158,0,0,0.00028878866260453884
primary_total_co2,SLV,El Salvador,Central America,0.06948090854064985,0.127627061056638,0.12758562061082548,0.05814615251598816,0.05810471207017563,0,0,-4.144044581252948e-05
primary_total_co2,GTM,Guatemala,Central America,0.0508136158223582,0.10952093820024997,0.10947471560107629,0.058707322377891766,0.058661099778718084,0,0,-4.6222599173681433e-05
primary_total_co2,HTI,Haiti,Caribbean,0.14216341234840274,0.08283511795503251,0.0823284092227893,0.05932829439337023,0.059835003125613434,0,0,0.0005067087322432051
primary_total_co2,HND,Honduras,Central America,0.08078933014247122,0.1395398889211115,0.13950835794616073,0.05875055877864027,0.05871902780368951,0,0,-3.153097495076085e-05
primary_total_co2,JAM,Jamaica,Caribbean,0.12861876139008294,0.10361118635722988,0.10344123279238512,0.025007575032853058,0.025177528597697812,0,0,0.00016995356484475477
primary_total_co2,MEX,Mexico,Central America,0.04065719593311795,0.14001283609742,0.14001771765148122,0.09935564016430204,0.09936052171836326,0,0,4.881554061225701e-06
primary_total_co2,NIC,Nicaragua,Central America,0.09228609649696132,0.13514554312537988,0.13513427863209002,0.04285944662841856,0.0428481821351287,0,0,-1.126449328986423e-05
primary_total_co2,PAN,Panama,Central America,0.12161241121300685,0.12156035602848211,0.12163630603046244,5.205518452473801e-05,2.389481745558586e-05,0,0,-2.8160367069152148e-05
primary_total_co2,USA,United States,Northern America,0.1695001197237513,0.1432592585165796,0.14251228556859127,0.0262408612071717,0.02698783415516004,0,0,0.0007469729479883391
primary_total_co2,AUS,Australia,Australia and New Zealand,0.16302097420962694,0.09852332523473212,0.09535819269109291,0.06449764897489482,0.06766278151853403,0,0,0.003165132543639204
primary_total_co2,NZL,New Zealand,Australia and New Zealand,0.10027093962176431,0.1726252173985579,0.17464765807944752,0.0723542777767936,0.0743767184576832,0,0,0.002022440680889609
primary_total_co2,PNG,Papua New Guinea,Melanesia,0.13861753573076713,0.05346630747966491,0.05188341530389948,0.08515122825110222,0.08673412042686765,0,0,0.0015828921757654324
primary_total_co2,ARG,Argentina,South America,0.10866574248962382,0.17395208184274652,0.1738093846287348,0.0652863393531227,0.06514364213911097,0,0,-0.0001426972140117222
primary_total_co2,BOL,Bolivia,South America,0.10781469285053756,0.11771807123849515,0.11772770422186096,0.009903378387957587,0.009913011371323402,0,0,9.632983365814862e-06
primary_total_co2,BRA,Brazil,South America,0.16469595530453246,0.049961404264936435,0.05002858912722502,0.11473455103959602,0.11466736617730744,0,0,-6.718486228858567e-05
primary_total_co2,CHL,Chile,South America,0.0993071522959073,0.15904743551291964,0.15892181651457976,0.059740283217012344,0.05961466421867247,0,0,-0.000125618998339877
primary_total_co2,COL,Colombia,South America,0.13225011394627992,0.1158159422274366,0.11600310073064718,0.016434171718843316,0.01624701321563274,0,0,-0.00018715850321057714
primary_total_co2,ECU,Ecuador,South America,0.12529387656573873,0.08646846417557358,0.08645752439071797,0.038825412390165154,0.038836352175020766,0,0,1.0939784855612533e-05
primary_total_co2,PRY,Paraguay,South America,0.12268222549728672,0.1619821938841921,0.16296298652626282,0.03929996838690539,0.0402807610289761,0,0,0.0009807926420707103
primary_total_co2,PER,Peru,South America,0.10234701745272959,0.10302024992885347,0.10297602330288361,0.0006732324761238861,0.0006290058501540186,0,0,-4.4226625969867595e-05
