representation,model,fit,held_out_iso3,fold,n_train,matrix_columns,matrix_rank,feature_identified,column,coefficient
primary_total_co2,M0star,primary_training,BDI,5,144,20,20,,climate_zone=B,0.008167655675636806
primary_total_co2,M0star,primary_training,BDI,5,144,20,20,,climate_zone=C,-0.019082339689131794
primary_total_co2,M0star,primary_training,BDI,5,144,20,20,,climate_zone=D,-0.0037952411946003094
primary_total_co2,M0star,primary_training,BDI,5,144,20,20,,climate_zone=E,-0.09130445306569174
primary_total_co2,M0star,primary_training,BDI,5,144,20,20,,hemisphere=S,-0.03320056739501258
primary_total_co2,M0star,primary_training,BDI,5,144,20,20,,spatial_block=Asia,-0.05173952242420279
primary_total_co2,M0star,primary_training,BDI,5,144,20,20,,spatial_block=Europe,-0.06346478733048977
primary_total_co2,M0star,primary_training,BDI,5,144,20,20,,spatial_block=North America,-0.08906426629503117
primary_total_co2,M0star,primary_training,BDI,5,144,20,20,,spatial_block=Oceania,-0.050711649581240095
primary_total_co2,M0star,primary_training,BDI,5,144,20,20,,spatial_block=South America,-0.05519941585160589
primary_total_co2,M0star,primary_training,BDI,5,144,20,20,,income_group=Low-income countries,0.01083335747417208
primary_total_co2,M0star,primary_training,BDI,5,144,20,20,,income_group=Lower-middle-income countries,-0.00581646632988709
primary_total_co2,M0star,primary_training,BDI,5,144,20,20,,income_group=Upper-middle-income countries,-0.01212408557386269
primary_total_co2,M0star,primary_training,CMR,6,142,20,20,,intercept,0.28120902284961846
primary_total_co2,M0star,primary_training,CMR,6,142,20,20,,cum_co2_total,0.01755168839629152
primary_total_co2,M0star,primary_training,CMR,6,142,20,20,,abs_latitude,0.0008590042764200968
primary_total_co2,M0star,primary_training,CMR,6,142,20,20,,elevation,-2.2469627815353873e-06
primary_total_co2,M0star,primary_training,CMR,6,142,20,20,,continentality,4.908224719440824e-05
primary_total_co2,M0star,primary_training,CMR,6,142,20,20,,population,-0.016944502914120477
primary_total_co2,M0star,primary_training,CMR,6,142,20,20,,station_density,-0.0016704557935862906
primary_total_co2,M0star,primary_training,CMR,6,142,20,20,,climate_zone=B,0.0020303246261261596
primary_total_co2,M0star,primary_training,CMR,6,142,20,20,,climate_zone=C,-0.022918822463530678
primary_total_co2,M0star,primary_training,CMR,6,142,20,20,,climate_zone=D,-0.007540783608010439
primary_total_co2,M0star,primary_training,CMR,6,142,20,20,,climate_zone=E,-0.09168814275931784
primary_total_co2,M0star,primary_training,CMR,6,142,20,20,,hemisphere=S,-0.03065176615559593
primary_total_co2,M0star,primary_training,CMR,6,142,20,20,,spatial_block=Asia,-0.056943352906260625
primary_total_co2,M0star,primary_training,CMR,6,142,20,20,,spatial_block=Europe,-0.06554116030001512
primary_total_co2,M0star,primary_training,CMR,6,142,20,20,,spatial_block=North America,-0.09843435915321291
primary_total_co2,M0star,primary_training,CMR,6,142,20,20,,spatial_block=Oceania,-0.05904545835624987
primary_total_co2,M0star,primary_training,CMR,6,142,20,20,,spatial_block=South America,-0.06727459149245359
primary_total_co2,M0star,primary_training,CMR,6,142,20,20,,income_group=Low-income countries,0.0006819240084632188
primary_total_co2,M0star,primary_training,CMR,6,142,20,20,,income_group=Lower-middle-income countries,-0.01201542458049047
primary_total_co2,M0star,primary_training,CMR,6,142,20,20,,income_group=Upper-middle-income countries,-0.014571346570935432
primary_total_co2,M0star,primary_training,CAF,7,141,20,20,,intercept,0.28480591025773005
primary_total_co2,M0star,primary_training,CAF,7,141,20,20,,cum_co2_total,0.01874922683796919
primary_total_co2,M0star,primary_training,CAF,7,141,20,20,,abs_latitude,0.0007101041712078688
primary_total_co2,M0star,primary_training,CAF,7,141,20,20,,elevation,-3.097831149069602e-06
primary_total_co2,M0star,primary_training,CAF,7,141,20,20,,continentality,5.363811046867293e-05
primary_total_co2,M0star,primary_training,CAF,7,141,20,20,,population,-0.017676544526859402
primary_total_co2,M0star,primary_training,CAF,7,141,20,20,,station_density,-0.0016579313251752518
primary_total_co2,M0star,primary_training,CAF,7,141,20,20,,climate_zone=B,0.004787482336550102
primary_total_co2,M0star,primary_training,CAF,7,141,20,20,,climate_zone=C,-0.020185819794044043
primary_total_co2,M0star,primary_training,CAF,7,141,20,20,,climate_zone=D,-0.004112257893455853
primary_total_co2,M0star,primary_training,CAF,7,141,20,20,,climate_zone=E,-0.08490752138582533
primary_total_co2,M0star,primary_training,CAF,7,141,20,20,,hemisphere=S,-0.03282153478274046
primary_total_co2,M0star,primary_training,CAF,7,141,20,20,,spatial_block=Asia,-0.05833751082580735
primary_total_co2,M0star,primary_training,CAF,7,141,20,20,,spatial_block=Europe,-0.06495792617464022
primary_total_co2,M0star,primary_training,CAF,7,141,20,20,,spatial_block=North America,-0.09874206249947357
primary_total_co2,M0star,primary_training,CAF,7,141,20,20,,spatial_block=Oceania,-0.05740691694206141
primary_total_co2,M0star,primary_training,CAF,7,141,20,20,,spatial_block=South America,-0.06705123254177629
primary_total_co2,M0star,primary_training,CAF,7,141,20,20,,income_group=Low-income countries,0.004259104954319467
primary_total_co2,M0star,primary_training,CAF,7,141,20,20,,income_group=Lower-middle-income countries,-0.011600227171225394
primary_total_co2,M0star,primary_training,CAF,7,141,20,20,,income_group=Upper-middle-income countries,-0.014668522604766785
primary_total_co2,M0star,primary_training,TCD,8,140,20,20,,intercept,0.24743189580279823
primary_total_co2,M0star,primary_training,TCD,8,140,20,20,,cum_co2_total,0.01737150092975239
primary_total_co2,M0star,primary_training,TCD,8,140,20,20,,abs_latitude,0.0009824409728611105
primary_total_co2,M0star,primary_training,TCD,8,140,20,20,,elevation,-3.3967543048952254e-06
primary_total_co2,M0star,primary_training,TCD,8,140,20,20,,continentality,4.8280595401231775e-05
primary_total_co2,M0star,primary_training,TCD,8,140,20,20,,population,-0.012874346522422173
primary_total_co2,M0star,primary_training,TCD,8,140,20,20,,station_density,-0.0014889754970406038
primary_total_co2,M0star,primary_training,TCD,8,140,20,20,,climate_zone=B,0.012953533314943044
primary_total_co2,M0star,primary_training,TCD,8,140,20,20,,climate_zone=C,-0.022474865754251103
primary_total_co2,M0star,primary_training,TCD,8,140,20,20,,climate_zone=D,-0.003823013034621211
primary_total_co2,M0star,primary_training,TCD,8,140,20,20,,climate_zone=E,-0.08519777299753833
primary_total_co2,M0star,primary_training,TCD,8,140,20,20,,hemisphere=S,-0.032937319133827865
primary_total_co2,M0star,primary_training,TCD,8,140,20,20,,spatial_block=Asia,-0.06304998778780671
primary_total_co2,M0star,primary_training,TCD,8,140,20,20,,spatial_block=Europe,-0.06807238224779953
