iso3,Country,abs_latitude,elevation,continentality,climate_zone,hemisphere,spatial_block
MKD,Macedonia,41.61006343580521,819.7702752723376,139.1994381715285,D,N,Europe
MDA,Moldova,47.244466179755854,146.6819313467185,192.7789544455771,D,N,Europe
MNE,Montenegro,42.798202968301624,1053.1076657865576,67.92731477030372,D,N,Europe
NLD,Netherlands,52.25290816445503,8.981316487800882,72.98557630759639,C,N,Europe
NOR,Norway,63.891885066158004,,82.90539038721754,D,N,Europe
POL,Poland,52.083096110996514,170.70385203031742,275.9282817700202,D,N,Europe
PRT,Portugal,39.56830969786049,326.36192902875024,125.93870413073437,C,N,Europe
ROU,Romania,45.83813350585728,400.3165024344931,321.82274858026454,D,N,Europe
RUS,Russia,60.32552966533366,374.23922209082684,653.4877962696157,D,N,Europe
SRB,Serbia,44.205562638185945,416.83039504314195,275.9312477378989,D,N,Europe
SVK,Slovakia,48.710250137318454,455.22305025640264,526.468672482207,D,N,Europe
SVN,Slovenia,46.13308864903622,560.0045388666218,95.87435208588865,D,N,Europe
ESP,Spain,40.147551096591386,686.537744135805,139.36919941878452,C,N,Europe
SWE,Sweden,62.40060248590088,319.3194837888503,109.0357116420047,D,N,Europe
CHE,Switzerland,46.81075410573527,1337.1649460074736,282.0276128778295,D,N,Europe
UKR,Ukraine,48.95902844937982,179.77107913283606,308.0678448617863,D,N,Europe
GBR,United Kingdom,54.022131292536606,160.07531186211406,47.02875773876757,C,N,Europe
BHS,Bahamas,24.24208126295831,,73.99425875165343,,N,North America
CAN,Canada,58.72198661221544,473.71001945497,336.29080853540756,D,N,North America
CRI,Costa Rica,9.968397007769868,546.8992244465401,36.918340901452474,A,N,North America
CUB,Cuba,21.62016332765592,97.44399574100673,26.446201130840006,A,N,North America
DOM,Dominican Republic,18.90135131828218,401.9666475660149,32.679658447146906,A,N,North America
SLV,El Salvador,13.743904650009679,454.9373143469391,43.43075944213683,A,N,North America
GTM,Guatemala,15.642142399211087,745.324143096805,108.94984003261169,A,N,North America
HTI,Haiti,18.92558956492971,405.4744627968306,21.706054365565503,A,N,North America
HND,Honduras,14.829086021786997,628.9873059141655,80.59319997157682,A,N,North America
JAM,Jamaica,18.157183404751507,322.7838072476137,16.305128220958615,A,N,North America
MEX,Mexico,23.773980087806027,1046.6296020731243,195.1954490396614,B,N,North America
NIC,Nicaragua,12.939186508162168,233.19043109075545,90.06486835368099,A,N,North America
PAN,Panama,8.500185668364015,315.6511349565649,25.720680560747066,A,N,North America
USA,United States,42.93007152361303,732.8647071676965,578.5908478273587,D,N,North America
AUS,Australia,25.40385656083693,274.35418246461154,350.03945351002415,B,S,Oceania
NZL,New Zealand,41.65473108578579,484.77944657906744,44.69937863510879,C,S,Oceania
PNG,Papua New Guinea,6.474130201905024,596.9188806321678,92.12694236909911,A,S,Oceania
ARG,Argentina,34.60305430630786,709.5783840059182,369.55678336681314,B,S,South America
BOL,Bolivia,16.661748708056738,1250.7949360369805,699.3227845857851,A,S,South America
BRA,Brazil,10.741341722090883,316.5946161720511,727.1504019605512,A,S,South America
CHL,Chile,36.25361676786006,1340.3784579565934,87.84050280921375,B,S,South America
COL,Colombia,4.207139911844255,552.1536982889058,416.5903219432334,A,N,South America
ECU,Ecuador,1.574626991669516,1044.7775518047736,208.85634716740893,A,S,South America
PRY,Paraguay,23.195019175785408,162.23080552816367,922.0357049893252,A,S,South America
PER,Peru,9.091584195649625,1461.7729602027516,360.594976136273,A,S,South America
SUR,Suriname,4.122796763561867,141.22081453807067,194.91880431194392,A,N,South America
URY,Uruguay,32.777344513863774,109.07839193784872,174.13995700074636,C,S,South America
VEN,Venezuela,7.113188457416796,340.8206385086981,326.91019393822125,A,N,South America
