iso3,Country,terrestrial_area_km2,n_pixels_60s,abs_latitude,hemisphere,north_area_fraction,elevation_coverage,elevation_if_computed,elevation,continentality_coverage,continentality,continentality_5min,continentality_60s_check,climate_zone,koppen_area_share_A,koppen_area_share_B,koppen_area_share_C,koppen_area_share_D,koppen_area_share_E,koppen_unclassified_share,koppen_winner_margin_km2,koppen_unclassified_km2,mixed_pixel_area_km2,elevation_water_centred_land_km2,negative_land_area_km2,elevation_missing_fraction,elevation_missing_cause,climate_missing_cause,missing_reasons,continentality_60s_pass,gpw_footprint_area_km2,gpw_cells,removed_water_area_km2,spatial_block,v1_abs_latitude,v1_elevation,v1_continentality,v1_climate_zone,v1_hemisphere,continentality_station_v1,continentality_station_exact_arc,continentality_diff_3min_vs_5min_km,continentality_diff_3min_vs_60s_km,continentality_quadrature,continentality_3min,continentality_quadrature_ok,climate_zone_changed,hemisphere_changed,abs_latitude_change,elevation_change,continentality_change
ZMB,Zambia,741216.9132318273,222722,13.468932390446058,S,0.0,0.9994322523596398,1123.055285870512,1123.055285870512,0.9999999999999792,984.5775070167462,984.5821806295133,,C,0.1635143494397034,0.0378378437180796,0.798647806842163,0.0,0.0,0.0,470771.6607861094,0.0,1987.6509431826385,420.82415348276584,0.0,0.0005677476403606382,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),,{},,751709.7759892727,1001,10492.86275744543,Africa,13.86,1189.5065307617188,1010.4273463271114,C,S,1010.4273463271114,1010.4273463271113,0.004673612767192026,,3min,984.5775070167462,True,False,False,-0.39106760955394115,-66.45124489120667,-25.84983931036527
ZWE,Zimbabwe,388795.557514974,120024,18.97800643745139,S,0.0,0.9995377809113688,976.017068772015,976.017068772015,0.9999999999999473,546.0859407785166,546.0849028054022,,B,0.004067102427029191,0.5654851027901805,0.4304477947827894,0.0,0.0,0.0,52501.90545205487,0.0,829.652546561705,179.7087282591603,0.0,0.0004622190886330769,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),,{},,391533.2608079694,536,2737.7032929954003,Africa,18.94,1307.260498046875,490.4733890974661,C,S,490.4733890974661,490.4733890974661,0.00103797311442122,,3min,546.0859407785166,True,True,False,0.038006437451389985,-331.24342927486,55.61255168105049
AFG,Afghanistan,642179.4188531686,225225,33.76817950299666,N,1.0,0.9999801026887781,1802.3079047601627,1802.3079047601627,0.9999999999998856,912.5023276981528,912.5083054318135,,B,0.0,0.6765343717176798,0.02451091257058972,0.2417548756664234,0.05719984004520315,0.0,279206.4441034694,0.0,69.1638551654512,12.77764375701015,0.0,1.9897311221572642e-05,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),,{},,642216.5457753859,1001,37.12692221731413,Asia,34.158750000000005,1700.4435272216797,980.0251806546243,B,N,980.0251806546243,980.0175364850143,0.005977733660643025,,3min,912.5023276981528,True,False,False,-0.39057049700334545,101.86437753848304,-67.52285295647141
ARM,Armenia,29225.768207240042,11254,40.33621087456007,N,1.0,0.9985734968696124,1852.888530193389,1852.888530193389,0.9999999999999905,271.4791490683092,271.48652946100924,,D,0.0,0.3832408719272717,0.0,0.6167591280727245,0.0,0.0,6824.7504262659095,0.0,218.58831596658914,41.69064983559947,0.0,0.001426503130387229,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),,{},,30627.001279526456,52,1401.2330722864135,Asia,40.99,1651.8125,274.3681751312658,D,N,274.3681751312658,271.9784701918171,0.007380392700042648,,3min,271.4791490683092,True,False,False,-0.6537891254399355,201.076030193389,-2.8890260629565887
AZE,Azerbaijan,85759.91761451382,33107,40.266549410824354,N,1.0,0.9977858564980671,643.473824875718,643.473824875718,1.0000000000000238,137.05014722856495,137.0565949769251,,B,0.0,0.6725242749084065,0.10164225204885281,0.21236208043601332,0.013471392606727126,0.0,39463.47188726632,0.0,940.0002693194982,189.88476431275052,15842.161846678398,0.002214143501936094,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),,{},,95502.89641003049,162,9742.978795516668,Asia,40.99,715.4375,25.20360155335367,D,N,25.20360155335367,24.423203825080908,0.006447748360159267,,3min,137.05014722856495,True,True,False,-0.7234505891756484,-71.96367512428196,111.84654567521127
BGD,Bangladesh,135738.43017362553,44609,23.824871125395287,N,1.0,0.9924642613750415,25.37462280575267,25.37462280575267,1.0000000000000457,154.98310096737114,154.96737966952074,,A,0.8430068433450573,0.0,0.15672037118475854,0.0,0.0,0.00027278547018421404,93155.4483804345,37.027471496979544,4896.707186723706,1022.889331150067,924.6216023975911,0.00753573862495441,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),terrestrial support inside Köppen 0.5° pixels coded 0/unmapped (source raster land/sea resolution),{},,152133.21503210624,215,16394.784858480707,Asia,24.072105263157894,10.800667110242342,167.4501932416387,A,N,167.4501932416387,167.4501932416387,0.01572129785040488,,3min,154.98310096737114,True,False,False,-0.24723413776260728,14.573955695510326,-12.467092274267543
MMR,Burma,667744.3362051883,212593,21.01194737341006,N,1.0,0.9963452929978691,570.5016546502317,570.5016546502317,1.0000000000000406,330.917623021011,330.9191334519905,,A,0.5226901872858469,0.038875424484410274,0.4328170751106768,0.0,0.004080149562478208,0.0015371635565744927,60012.261632103415,1026.432258723641,10805.041088977154,2440.4099011580693,1156.175387623717,0.003654707002124487,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),terrestrial support inside Köppen 0.5° pixels coded 0/unmapped (source raster land/sea resolution),{},,750700.5596708757,1039,82956.22346568736,Asia,18.803,209.8380369782448,169.36276423745338,A,N,169.36276423745338,169.3254879334549,0.0015104309794651272,,3min,330.917623021011,True,False,False,2.2089473734100586,360.6636176719869,161.55485878355765
KHM,Cambodia,176115.2807326327,53511,12.704304304190087,N,1.0,0.9959177572764456,123.1620801327417,123.1620801327417,0.9999999999999746,193.78765404184912,193.80065081279471,,A,0.9997458797055419,0.0,0.0,0.0,0.0,0.00025412029445811906,176070.52626563434,44.75446699835093,3570.6980031940657,718.9453232773309,76.30015138888054,0.0040822427235532675,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),terrestrial support inside Köppen 0.5° pixels coded 0/unmapped (source raster land/sea resolution),{},,192289.72350193726,255,16174.442769304558,Asia,12.05,17.38812828063965,198.32514565256477,A,N,198.32514565256477,198.325145652565,0.012996770945591152,,3min,193.78765404184912,True,False,False,0.6543043041900862,105.77395185210206,-4.537491610715648
CHN,China,9314818.08173293,3420211,35.90562553970296,N,1.0,0.9989501908843536,1829.0466435350136,1829.0466435350136,1.0000000000001812,1002.0085868368709,1002.0100460428674,,B,0.0036122381801309703,0.3388929841217276,0.25991711920781824,0.22725662366637148,0.17016132808000575,0.00015970674413968823,735645.8145205802,1487.6392680870626,46970.179224114945,9778.780932794194,6635.173397425417,0.0010498091156467275,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),terrestrial support inside Köppen 0.5° pixels coded 0/unmapped (source raster land/sea resolution),{},,9562001.846223986,15503,247183.76449105516,Asia,33.82457894736842,452.5437363197929,460.2465280733392,C,N,460.2465280733392,454.0951179273323,0.0014592059965252702,,3min,1002.0085868368709,True,True,False,2.0810465923345376,1376.5029072152206,541.7620587635317
GEO,Georgia,69286.78068559724,27381,42.19246465263545,N,1.0,0.99884372440077,1239.5388294943834,1239.5388294943834,1.0000000000000466,138.3790431405706,138.37812941353653,,D,0.0,0.0668093750309226,0.22889892124088212,0.6389260013296388,0.06525514830131872,0.00011055409728579079,28409.456373265508,7.659937492534768,406.92390835993615,80.11461385630712,81.84350951778688,0.0011562755992350598,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),terrestrial support inside Köppen 0.5° pixels coded 0/unmapped (source raster land/sea resolution),{},,73255.50835619002,128,3968.7276705927798,Asia,40.99,1651.8125,274.3681751312658,D,N,274.3681751312658,271.9784701918171,0.0009137270340602299,,3min,138.3790431405706,True,False,False,1.2024646526354488,-412.27367050561656,-135.9891319906952
