iso3,Country,feature,coverage_basis,achieved,required,rule,passes,missing_area_km2,missing_support_source,classification
EGY,Egypt,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
EGY,Egypt,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
EGY,Egypt,elevation,valid terrestrial area (land-centred ETOPO pixels),0.9985447962344776,0.98,>= 98%,True,1451.6797084629618,,
EGY,Egypt,continentality,terrestrial area with a distance value,0.9999999999996848,0.98,>= 98%,True,3.1442901760194754e-07,,
EGY,Egypt,climate_zone,classified terrestrial area,0.999604201396798,0.95,>= 95% and A1 - A2 > unclassified,True,394.84010041721865,,
EGY,Egypt,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
GNQ,Equatorial Guinea,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
GNQ,Equatorial Guinea,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
GNQ,Equatorial Guinea,elevation,valid terrestrial area (land-centred ETOPO pixels),0.995251185921796,0.98,>= 98%,True,128.67120770750145,,
GNQ,Equatorial Guinea,continentality,terrestrial area with a distance value,0.9999999999999818,0.98,>= 98%,True,4.933444971377795e-10,,
GNQ,Equatorial Guinea,climate_zone,classified terrestrial area,0.999421892083246,0.95,>= 95% and A1 - A2 > unclassified,True,15.664088466931476,,
GNQ,Equatorial Guinea,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
ERI,Eritrea,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
ERI,Eritrea,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
ERI,Eritrea,elevation,valid terrestrial area (land-centred ETOPO pixels),0.9950448765894768,0.98,>= 98%,True,598.083766379015,,
ERI,Eritrea,continentality,terrestrial area with a distance value,1.0000000000000275,0.98,>= 98%,True,-3.3232992529759233e-09,,
ERI,Eritrea,climate_zone,classified terrestrial area,0.9984428252363095,0.95,>= 95% and A1 - A2 > unclassified,True,187.9511104810334,,
ERI,Eritrea,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
ETH,Ethiopia,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
ETH,Ethiopia,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
ETH,Ethiopia,elevation,valid terrestrial area (land-centred ETOPO pixels),0.999699724231378,0.98,>= 98%,True,338.4908048611272,,
ETH,Ethiopia,continentality,terrestrial area with a distance value,1.0000000000002638,0.98,>= 98%,True,-2.9736048356048876e-07,,
ETH,Ethiopia,climate_zone,classified terrestrial area,1.0,0.95,>= 95% and A1 - A2 > unclassified,True,0.0,,
ETH,Ethiopia,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
GAB,Gabon,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
GAB,Gabon,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
GAB,Gabon,elevation,valid terrestrial area (land-centred ETOPO pixels),0.998191924309908,0.98,>= 98%,True,485.0868704086474,,
GAB,Gabon,continentality,terrestrial area with a distance value,1.0000000000000169,0.98,>= 98%,True,-4.5274819823185954e-09,,
GAB,Gabon,climate_zone,classified terrestrial area,0.9994838012001692,0.95,>= 95% and A1 - A2 > unclassified,True,138.4904745364236,,
GAB,Gabon,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
GHA,Ghana,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
GHA,Ghana,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
GHA,Ghana,elevation,valid terrestrial area (land-centred ETOPO pixels),0.9958392283660314,0.98,>= 98%,True,952.9265561919938,,
GHA,Ghana,continentality,terrestrial area with a distance value,1.0000000000000346,0.98,>= 98%,True,-7.933235998463862e-09,,
GHA,Ghana,climate_zone,classified terrestrial area,0.9993608322305843,0.95,>= 95% and A1 - A2 > unclassified,True,146.38629439927394,,
GHA,Ghana,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
GIN,Guinea,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
GIN,Guinea,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
GIN,Guinea,elevation,valid terrestrial area (land-centred ETOPO pixels),0.998701288452454,0.98,>= 98%,True,320.3975921244639,,
GIN,Guinea,continentality,terrestrial area with a distance value,1.000000000000082,0.98,>= 98%,True,-2.0213575135185716e-08,,
GIN,Guinea,climate_zone,classified terrestrial area,0.9994802491081195,0.95,>= 95% and A1 - A2 > unclassified,True,128.2247274829549,,
GIN,Guinea,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
GNB,Guinea Bissau,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
GNB,Guinea Bissau,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
GNB,Guinea Bissau,elevation,valid terrestrial area (land-centred ETOPO pixels),0.9840194430173822,0.98,>= 98%,True,547.1441521693995,,
GNB,Guinea Bissau,continentality,terrestrial area with a distance value,1.000000000000037,0.98,>= 98%,True,-1.2695989262881248e-09,,
GNB,Guinea Bissau,climate_zone,classified terrestrial area,0.9999479687666618,0.95,>= 95% and A1 - A2 > unclassified,True,1.7814513650630408,,
GNB,Guinea Bissau,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
KEN,Kenya,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
KEN,Kenya,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
KEN,Kenya,elevation,valid terrestrial area (land-centred ETOPO pixels),0.9988680240749032,0.98,>= 98%,True,658.2495345266414,,
KEN,Kenya,continentality,terrestrial area with a distance value,0.9999999999997692,0.98,>= 98%,True,1.3422026423183877e-07,,
KEN,Kenya,climate_zone,classified terrestrial area,0.9998512059838659,0.95,>= 95% and A1 - A2 > unclassified,True,86.5244478165408,,
KEN,Kenya,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
LSO,Lesotho,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
LSO,Lesotho,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
LSO,Lesotho,elevation,valid terrestrial area (land-centred ETOPO pixels),1.0,0.98,>= 98%,True,0.0,,
LSO,Lesotho,continentality,terrestrial area with a distance value,0.9999999999999742,0.98,>= 98%,True,7.96276286756324e-10,,
