iso3,ndgain_year,vulnerability,readiness,gain
JPN,2023.0,0.368956663778576,0.685058120065923,65.8050728143673
KAZ,2023.0,0.315840401791174,0.507322908255109,59.5741253231968
KEN,2023.0,0.500482899095129,0.305556854143797,40.2536977524334
KGZ,2023.0,0.31058858905899,0.393693458702386,54.1552434821698
KHM,2023.0,0.480602948477485,0.291590099202459,40.5493575362487
KIR,2023.0,0.556980290083949,0.447493771254115,44.5256740585083
KNA,,,0.55322089212856,
KOR,2023.0,0.35688616548857,0.726999823197072,68.5056828854251
KWT,2023.0,0.361609584872794,0.469669725071288,55.4030070099247
LAO,2023.0,0.485779677784065,0.335772527506012,42.4996424860974
LBN,2023.0,0.399068685796453,0.288313858597877,44.4622586400712
LBR,2023.0,0.537843878517471,0.2804635319622,37.1309826722364
LBY,2023.0,0.415618941696469,0.301999169949368,44.3190114126449
LCA,2023.0,0.375102915547686,0.450559293633692,53.7728189043003
LIE,,,0.638210926502373,
LKA,2023.0,0.474665403651957,0.384242000135626,45.4788298241834
LSO,2023.0,0.472066039744258,0.302459624657576,41.5196792456659
LTU,2023.0,0.359642639101339,0.598386526006303,61.9371943452482
LUX,2023.0,0.31132701026558,0.655116714148073,67.1894851941246
LVA,2023.0,0.359746053956523,0.579739325575857,60.9996635809667
MAR,2023.0,0.368260848468096,0.430685302251667,53.1212226891785
MCO,,,0.685146516275057,
MDA,2023.0,0.393818145977452,0.43997515920611,52.3078506614329
MDG,2023.0,0.557511934775167,0.260796199654557,35.1642132439695
MDV,2023.0,0.550394839290001,0.45460291853433,45.2104039622165
MEX,2023.0,0.386509692483505,0.361279364751315,48.7384836133905
MHL,2023.0,0.58989667559945,0.423376079170258,41.6739701785404
MKD,2023.0,0.372276057783572,0.474219912531942,55.0971927374185
MLI,2023.0,0.575536510573169,0.280865858354974,35.2664673890902
MLT,2023.0,0.319719009677223,0.491827991080915,58.6054490701846
MMR,2023.0,0.514340557222612,0.252192754510647,36.8926098644018
MNE,2023.0,0.363229797256813,0.466109055980211,55.1439629361699
MNG,2023.0,0.365310365874975,0.462281953971968,54.8485794048496
MOZ,2023.0,0.493088994998562,0.263459593264345,38.5185299132892
MRT,2023.0,0.578337692788211,0.354413283750964,38.8037795481376
MUS,2023.0,0.411861399624017,0.563975256743701,57.6056928559842
MWI,2023.0,0.549017491656397,0.28667910246034,36.8830805401972
MYS,2023.0,0.366926701483168,0.505617252399218,56.9345275458025
NAM,2023.0,0.454056125631941,0.3797610107038,46.2852442535929
NER,2023.0,0.632980520703441,0.334762625328975,35.0891052312767
NGA,2023.0,0.481084976726398,0.252553196718334,38.5734109995968
NIC,2023.0,0.445563118016567,0.279448897785953,41.6942889884693
NLD,2023.0,0.353879572190633,0.67132502165124,65.8722724730304
NOR,2023.0,0.2556147185431,0.764780821430272,75.4583051443586
NPL,2023.0,0.490027728692084,0.362091270188631,43.6031770748274
NRU,2023.0,0.509133496151699,0.577583840077097,53.4225171962699
NZL,2023.0,0.304262215654337,0.689671937870359,69.2704861108011
OMN,2023.0,0.420216953920259,0.504192573420417,54.1987809750079
PAK,2023.0,0.515133465900456,0.299420228815684,39.2143381457614
PAN,2023.0,0.406459590998431,0.380230032457491,48.688522072953
PER,2023.0,0.409139536462229,0.388530029533557,48.9695246535664
PHL,2023.0,0.443831296581348,0.355934777426713,45.6051740422682
PLW,2023.0,0.512616259244501,0.444756493701615,46.6070117228557
PNG,2023.0,0.5495701839912,0.291471114074833,37.0950465041816
POL,2023.0,0.305653132767215,0.536466125827891,61.5406496530338
PRK,2023.0,0.460326605101431,0.339537158758866,43.9605276828717
PRT,2023.0,0.318490170755297,0.573929157340897,62.77194932928
PRY,2023.0,0.372450628094713,0.361016259998125,49.4282815951706
QAT,2023.0,0.351294466670451,0.543043145977455,59.5874339653502
ROU,2023.0,0.411779483689989,0.440681797862735,51.4451157086373
RUS,2023.0,0.32374114097316,0.491439100136,58.384897958142
RWA,2023.0,0.56727886777407,0.432686997942559,43.2704065084245
SAU,2023.0,0.408246794806483,0.572809529116339,58.2281367154928
SDN,2023.0,0.611921181135229,0.238561446745367,31.3320132805069
SEN,2023.0,0.534856001387169,0.352651288850532,40.8897643731681
SGP,2023.0,0.38869248799521,0.800123608348007,70.5715560176398
SLB,2023.0,0.629252695947271,0.39908671300922,38.4917008530975
SLE,2023.0,0.597257262855005,0.296500007610857,34.9621372377926
SLV,2023.0,0.425438252888859,0.351470551711121,46.3016149411131
SMR,,,0.643942933711489,
SOM,2023.0,0.610504400996975,0.361021731996272,37.5258665499648
SRB,2023.0,0.421516261713672,0.44890327324382,51.3693505765074
STP,2023.0,0.541800996405374,0.369562179370151,41.3880591482388
SUR,2023.0,0.403676138662994,0.332489137115247,46.4406499226126
SVK,2023.0,0.360217081616822,0.500487850009093,57.0135384196135
SVN,2023.0,0.314325595066413,0.593117115577722,63.9395760255655
SWE,2023.0,0.317048367502868,0.713544863787731,69.8248248142432
SWZ,2023.0,0.447638388874438,0.306077890698356,42.9219750911959
SYC,2023.0,0.444141275646427,0.473639130799724,51.4748927576649
SYR,2023.0,0.486357761630186,0.224077141874499,36.8859690122157
TCD,2023.0,0.639626882645707,0.186651842683275,27.3512480018784
TGO,2023.0,0.50292389421847,0.356496668581366,42.6786387181448
THA,2023.0,0.434860553166205,0.488868029772619,52.7003738303207
TJK,2023.0,0.356071512505237,0.33136107139123,48.7644779442997
TKM,2023.0,0.371852432946571,0.23967417465075,43.391087085209
TLS,2023.0,0.538067793664859,0.384275169771968,42.3103688053554
TON,2023.0,0.606592737452327,0.453548906957153,42.3478084752413
TTO,2023.0,0.371248722441038,0.338371787094176,48.3561532326569
TUN,2023.0,0.379160533010825,0.427891185422689,52.4365326205932
TUR,2023.0,0.374649346747413,0.480612920334457,55.2981786793522
TUV,2023.0,0.576255343788702,0.630671118316392,52.7207887263845
TZA,2023.0,0.516026748253955,0.312186765871623,39.8080008808834
UGA,2023.0,0.535603099478039,0.283406890810305,37.3901895666133
UKR,2023.0,0.365102651375417,0.414040726485196,52.4469037554889
URY,2023.0,0.374668976606713,0.506872812356967,56.6101917875127
USA,2023.0,0.312019243435194,0.647312557199093,66.7646656881949
UZB,2023.0,0.358858275756943,0.427919218579603,53.453047141133
VCT,2023.0,0.431453491155348,0.503914022868128,53.623026585639
VEN,2023.0,0.373138028439569,0.191710938827557,40.9286455193994
VNM,2023.0,0.467810375980305,0.429317148065854,48.0753386042774
VUT,2023.0,0.563053414056388,0.372611604434162,40.4779095188887
WSM,2023.0,0.513291206755282,0.430634645201257,45.8671719222988
YEM,2023.0,0.534145476899263,0.24209547307575,35.3974998088243
ZAF,2023.0,0.394647749939191,0.356825777743611,48.108901390221
ZMB,2023.0,0.484581650335907,0.33537516889059,42.5396759277341
ZWE,2023.0,0.498238873860639,0.220661284121452,36.1211205130407
