representation,iso3,Country,m49_subregion,observed,M0star_cv_prediction,M2_cv_prediction,M0star_abs_error,M2_abs_error,abs_error_change
per_capita,GNQ,Equatorial Guinea,Middle Africa,0.16354706521210607,0.1994092316724204,0.2007413398882996,0.035862166460314315,0.03719427467619352,0.001332108215879202
per_capita,ERI,Eritrea,Eastern Africa,0.20315322405399622,0.21023218141899383,0.2156466477431515,0.007078957364997612,0.012493423689155292,0.00541446632415768
per_capita,ETH,Ethiopia,Eastern Africa,0.2076992707889047,0.20920127263702343,0.19863160021303847,0.001502001848118717,0.009067670575866243,0.0075656687277475265
per_capita,GAB,Gabon,Middle Africa,0.16553931693258667,0.20233647607919947,0.2084110341585173,0.0367971591466128,0.04287171722593064,0.006074558079317838
per_capita,GHA,Ghana,Western Africa,0.1992545668996173,0.18066342604345118,0.17474432063570852,0.018591140856166116,0.02451024626390877,0.005919105407742653
per_capita,GIN,Guinea,Western Africa,0.22751348300753205,0.18102034907210385,0.1780466650611771,0.0464931339354282,0.049466817946354935,0.002973684010926736
per_capita,GNB,Guinea Bissau,Western Africa,0.23319971534367673,0.18892357167206325,0.188663926575136,0.04427614367161348,0.044535788768540724,0.0002596450969272468
per_capita,KEN,Kenya,Eastern Africa,0.21062387448612835,0.1544515984433675,0.18963591519312134,0.056172276042760844,0.020987959293007008,-0.035184316749753836
per_capita,LSO,Lesotho,Southern Africa,0.16129029981211962,0.1844706132959352,0.14445353389742877,0.02318031348381558,0.016836765914690854,-0.0063435475691247245
per_capita,LBR,Liberia,Western Africa,0.2160061033815747,0.19559924987185007,0.1913081358284358,0.020406853509724626,0.024697967553138883,0.004291114043414257
per_capita,LBY,Libya,Northern Africa,0.19059948923507644,0.25052058204617733,0.2691552728414431,0.05992109281110089,0.07855578360636664,0.01863469079526575
