representation,model,protocol,fit,column,coefficient
primary_total_co2,M0star,primary_loco,BFA,climate_zone=D,-0.0074479523818932365
primary_total_co2,M0star,primary_loco,BFA,climate_zone=E,-0.09196685113355327
primary_total_co2,M0star,primary_loco,BFA,hemisphere=S,-0.01943586671558361
primary_total_co2,M0star,primary_loco,BFA,spatial_block=Asia,-0.04379324515793349
primary_total_co2,M0star,primary_loco,BFA,spatial_block=Europe,-0.053153130785767555
primary_total_co2,M0star,primary_loco,BFA,spatial_block=North America,-0.08113653109102495
primary_total_co2,M0star,primary_loco,BFA,spatial_block=Oceania,-0.0548559348019145
primary_total_co2,M0star,primary_loco,BFA,spatial_block=South America,-0.05947854985046251
primary_total_co2,M0star,primary_loco,BFA,income_group=Low-income countries,0.012965293605453081
primary_total_co2,M0star,primary_loco,BFA,income_group=Lower-middle-income countries,-0.008078104201708708
primary_total_co2,M0star,primary_loco,BFA,income_group=Upper-middle-income countries,-0.012431938507273768
primary_total_co2,M0star,primary_loco,BDI,intercept,0.2548467557941159
primary_total_co2,M0star,primary_loco,BDI,cum_co2_total,0.01721020065759636
primary_total_co2,M0star,primary_loco,BDI,abs_latitude,0.0011307338271354746
primary_total_co2,M0star,primary_loco,BDI,elevation,-2.9278061720205237e-06
primary_total_co2,M0star,primary_loco,BDI,continentality,3.9119576740304416e-05
primary_total_co2,M0star,primary_loco,BDI,population,-0.01551737959174071
primary_total_co2,M0star,primary_loco,BDI,station_density,-0.0016193572185393822
primary_total_co2,M0star,primary_loco,BDI,climate_zone=B,0.008167655675636841
primary_total_co2,M0star,primary_loco,BDI,climate_zone=C,-0.019082339689131814
primary_total_co2,M0star,primary_loco,BDI,climate_zone=D,-0.0037952411946002907
primary_total_co2,M0star,primary_loco,BDI,climate_zone=E,-0.091304453065692
primary_total_co2,M0star,primary_loco,BDI,hemisphere=S,-0.03320056739501251
primary_total_co2,M0star,primary_loco,BDI,spatial_block=Asia,-0.051739522424202725
primary_total_co2,M0star,primary_loco,BDI,spatial_block=Europe,-0.0634647873304896
primary_total_co2,M0star,primary_loco,BDI,spatial_block=North America,-0.08906426629503109
primary_total_co2,M0star,primary_loco,BDI,spatial_block=Oceania,-0.050711649581239956
primary_total_co2,M0star,primary_loco,BDI,spatial_block=South America,-0.05519941585160581
primary_total_co2,M0star,primary_loco,BDI,income_group=Low-income countries,0.010833357474172111
primary_total_co2,M0star,primary_loco,BDI,income_group=Lower-middle-income countries,-0.005816466329887057
primary_total_co2,M0star,primary_loco,BDI,income_group=Upper-middle-income countries,-0.012124085573862704
primary_total_co2,M0star,primary_loco,CMR,intercept,0.2812090228496162
primary_total_co2,M0star,primary_loco,CMR,cum_co2_total,0.017551688396291523
primary_total_co2,M0star,primary_loco,CMR,abs_latitude,0.000859004276420105
primary_total_co2,M0star,primary_loco,CMR,elevation,-2.2469627815365473e-06
primary_total_co2,M0star,primary_loco,CMR,continentality,4.908224719440484e-05
primary_total_co2,M0star,primary_loco,CMR,population,-0.016944502914120422
primary_total_co2,M0star,primary_loco,CMR,station_density,-0.00167045579358627
primary_total_co2,M0star,primary_loco,CMR,climate_zone=B,0.0020303246261261913
primary_total_co2,M0star,primary_loco,CMR,climate_zone=C,-0.022918822463530757
primary_total_co2,M0star,primary_loco,CMR,climate_zone=D,-0.00754078360801048
primary_total_co2,M0star,primary_loco,CMR,climate_zone=E,-0.09168814275931797
primary_total_co2,M0star,primary_loco,CMR,hemisphere=S,-0.03065176615559595
primary_total_co2,M0star,primary_loco,CMR,spatial_block=Asia,-0.05694335290626058
primary_total_co2,M0star,primary_loco,CMR,spatial_block=Europe,-0.06554116030001507
primary_total_co2,M0star,primary_loco,CMR,spatial_block=North America,-0.09843435915321302
primary_total_co2,M0star,primary_loco,CMR,spatial_block=Oceania,-0.05904545835624971
primary_total_co2,M0star,primary_loco,CMR,spatial_block=South America,-0.06727459149245356
primary_total_co2,M0star,primary_loco,CMR,income_group=Low-income countries,0.0006819240084630433
primary_total_co2,M0star,primary_loco,CMR,income_group=Lower-middle-income countries,-0.012015424580490546
primary_total_co2,M0star,primary_loco,CMR,income_group=Upper-middle-income countries,-0.014571346570935461
primary_total_co2,M0star,primary_loco,CAF,intercept,0.2848059102577307
primary_total_co2,M0star,primary_loco,CAF,cum_co2_total,0.018749226837968844
primary_total_co2,M0star,primary_loco,CAF,abs_latitude,0.0007101041712078603
primary_total_co2,M0star,primary_loco,CAF,elevation,-3.0978311490695414e-06
primary_total_co2,M0star,primary_loco,CAF,continentality,5.363811046867399e-05
primary_total_co2,M0star,primary_loco,CAF,population,-0.017676544526859333
primary_total_co2,M0star,primary_loco,CAF,station_density,-0.0016579313251752575
primary_total_co2,M0star,primary_loco,CAF,climate_zone=B,0.004787482336550108
primary_total_co2,M0star,primary_loco,CAF,climate_zone=C,-0.02018581979404397
primary_total_co2,M0star,primary_loco,CAF,climate_zone=D,-0.004112257893455712
primary_total_co2,M0star,primary_loco,CAF,climate_zone=E,-0.08490752138582519
primary_total_co2,M0star,primary_loco,CAF,hemisphere=S,-0.032821534782740476
primary_total_co2,M0star,primary_loco,CAF,spatial_block=Asia,-0.05833751082580744
primary_total_co2,M0star,primary_loco,CAF,spatial_block=Europe,-0.0649579261746405
primary_total_co2,M0star,primary_loco,CAF,spatial_block=North America,-0.09874206249947377
primary_total_co2,M0star,primary_loco,CAF,spatial_block=Oceania,-0.05740691694206158
primary_total_co2,M0star,primary_loco,CAF,spatial_block=South America,-0.06705123254177645
primary_total_co2,M0star,primary_loco,CAF,income_group=Low-income countries,0.004259104954319372
primary_total_co2,M0star,primary_loco,CAF,income_group=Lower-middle-income countries,-0.011600227171225587
primary_total_co2,M0star,primary_loco,CAF,income_group=Upper-middle-income countries,-0.01466852260476685
primary_total_co2,M0star,primary_loco,TCD,intercept,0.24743189580279817
primary_total_co2,M0star,primary_loco,TCD,cum_co2_total,0.017371500929752526
primary_total_co2,M0star,primary_loco,TCD,abs_latitude,0.000982440972861129
primary_total_co2,M0star,primary_loco,TCD,elevation,-3.3967543048979554e-06
primary_total_co2,M0star,primary_loco,TCD,continentality,4.828059540123247e-05
primary_total_co2,M0star,primary_loco,TCD,population,-0.012874346522422251
primary_total_co2,M0star,primary_loco,TCD,station_density,-0.0014889754970406118
primary_total_co2,M0star,primary_loco,TCD,climate_zone=B,0.012953533314943021
primary_total_co2,M0star,primary_loco,TCD,climate_zone=C,-0.022474865754251082
primary_total_co2,M0star,primary_loco,TCD,climate_zone=D,-0.0038230130346212274
primary_total_co2,M0star,primary_loco,TCD,climate_zone=E,-0.08519777299753822
primary_total_co2,M0star,primary_loco,TCD,hemisphere=S,-0.03293731913382787
primary_total_co2,M0star,primary_loco,TCD,spatial_block=Asia,-0.06304998778780675
primary_total_co2,M0star,primary_loco,TCD,spatial_block=Europe,-0.06807238224779964
primary_total_co2,M0star,primary_loco,TCD,spatial_block=North America,-0.09708281799241865
primary_total_co2,M0star,primary_loco,TCD,spatial_block=Oceania,-0.05631207532025152
primary_total_co2,M0star,primary_loco,TCD,spatial_block=South America,-0.0649633155876394
primary_total_co2,M0star,primary_loco,TCD,income_group=Low-income countries,0.0062648944708529
primary_total_co2,M0star,primary_loco,TCD,income_group=Lower-middle-income countries,-0.007001985797439921
primary_total_co2,M0star,primary_loco,TCD,income_group=Upper-middle-income countries,-0.014232376994222851
primary_total_co2,M0star,primary_loco,COG,intercept,0.27870995195158477
primary_total_co2,M0star,primary_loco,COG,cum_co2_total,0.016629063743857565
primary_total_co2,M0star,primary_loco,COG,abs_latitude,0.000985249334698925
primary_total_co2,M0star,primary_loco,COG,elevation,-9.78362890943402e-07
primary_total_co2,M0star,primary_loco,COG,continentality,4.881739513222283e-05
primary_total_co2,M0star,primary_loco,COG,population,-0.016321828611876855
primary_total_co2,M0star,primary_loco,COG,station_density,-0.0015175820243373212
primary_total_co2,M0star,primary_loco,COG,climate_zone=B,8.714988963784225e-05
primary_total_co2,M0star,primary_loco,COG,climate_zone=C,-0.02750972940397173
primary_total_co2,M0star,primary_loco,COG,climate_zone=D,-0.012332131951681827
primary_total_co2,M0star,primary_loco,COG,climate_zone=E,-0.09853026638430676
primary_total_co2,M0star,primary_loco,COG,hemisphere=S,-0.03349122714264709
primary_total_co2,M0star,primary_loco,COG,spatial_block=Asia,-0.05727214999978316
primary_total_co2,M0star,primary_loco,COG,spatial_block=Europe,-0.06608624368619709
primary_total_co2,M0star,primary_loco,COG,spatial_block=North America,-0.09863452395640918
primary_total_co2,M0star,primary_loco,COG,spatial_block=Oceania,-0.0546564784681417
primary_total_co2,M0star,primary_loco,COG,spatial_block=South America,-0.06524724062693295
primary_total_co2,M0star,primary_loco,COG,income_group=Low-income countries,-0.000840084920340577
primary_total_co2,M0star,primary_loco,COG,income_group=Lower-middle-income countries,-0.014039552988173137
primary_total_co2,M0star,primary_loco,COG,income_group=Upper-middle-income countries,-0.014996623065585815
primary_total_co2,M0star,primary_loco,COD,intercept,0.2780749126619496
primary_total_co2,M0star,primary_loco,COD,cum_co2_total,0.018349167157021715
primary_total_co2,M0star,primary_loco,COD,abs_latitude,0.00095717569021648
primary_total_co2,M0star,primary_loco,COD,elevation,-3.792423532869888e-06
primary_total_co2,M0star,primary_loco,COD,continentality,5.1145803497644205e-05
primary_total_co2,M0star,primary_loco,COD,population,-0.018193621195071747
primary_total_co2,M0star,primary_loco,COD,station_density,-0.0014078234994415104
primary_total_co2,M0star,primary_loco,COD,climate_zone=B,0.0071703499067825634
primary_total_co2,M0star,primary_loco,COD,climate_zone=C,-0.019525032870337886
primary_total_co2,M0star,primary_loco,COD,climate_zone=D,-0.0043636566370759775
primary_total_co2,M0star,primary_loco,COD,climate_zone=E,-0.08952179608348722
primary_total_co2,M0star,primary_loco,COD,hemisphere=S,-0.04065014396641476
primary_total_co2,M0star,primary_loco,COD,spatial_block=Asia,-0.05602536327259479
primary_total_co2,M0star,primary_loco,COD,spatial_block=Europe,-0.06567498388943754
primary_total_co2,M0star,primary_loco,COD,spatial_block=North America,-0.09388230878246209
primary_total_co2,M0star,primary_loco,COD,spatial_block=Oceania,-0.04604095088011096
primary_total_co2,M0star,primary_loco,COD,spatial_block=South America,-0.05553316434515916
primary_total_co2,M0star,primary_loco,COD,income_group=Low-income countries,0.012533360546376134
primary_total_co2,M0star,primary_loco,COD,income_group=Lower-middle-income countries,-0.00898677697856752
primary_total_co2,M0star,primary_loco,COD,income_group=Upper-middle-income countries,-0.013161522431826148
primary_total_co2,M0star,primary_loco,CIV,intercept,0.2505158834646023
primary_total_co2,M0star,primary_loco,CIV,cum_co2_total,0.018330106358283204
primary_total_co2,M0star,primary_loco,CIV,abs_latitude,0.0010419112741445068
primary_total_co2,M0star,primary_loco,CIV,elevation,2.5749793164706274e-07
primary_total_co2,M0star,primary_loco,CIV,continentality,4.218087370324141e-05
primary_total_co2,M0star,primary_loco,CIV,population,-0.015940102501126565
primary_total_co2,M0star,primary_loco,CIV,station_density,-0.0016645376019074744
primary_total_co2,M0star,primary_loco,CIV,climate_zone=B,0.006151620480176102
primary_total_co2,M0star,primary_loco,CIV,climate_zone=C,-0.022045189794472834
primary_total_co2,M0star,primary_loco,CIV,climate_zone=D,-0.007230366093002461
primary_total_co2,M0star,primary_loco,CIV,climate_zone=E,-0.0917684561597575
primary_total_co2,M0star,primary_loco,CIV,hemisphere=S,-0.020223658729703903
primary_total_co2,M0star,primary_loco,CIV,spatial_block=Asia,-0.04510202890406824
primary_total_co2,M0star,primary_loco,CIV,spatial_block=Europe,-0.05373078440884531
primary_total_co2,M0star,primary_loco,CIV,spatial_block=North America,-0.08181887176971568
primary_total_co2,M0star,primary_loco,CIV,spatial_block=Oceania,-0.05438648563681238
primary_total_co2,M0star,primary_loco,CIV,spatial_block=South America,-0.05986531694770487
primary_total_co2,M0star,primary_loco,CIV,income_group=Low-income countries,0.009333311418402329
primary_total_co2,M0star,primary_loco,CIV,income_group=Lower-middle-income countries,-0.008335032998562772
primary_total_co2,M0star,primary_loco,CIV,income_group=Upper-middle-income countries,-0.01286342764719808
primary_total_co2,M0star,primary_loco,DJI,intercept,0.24359134200523244
primary_total_co2,M0star,primary_loco,DJI,cum_co2_total,0.014320819975080336
