iso3,Country,terrestrial_area_km2,valid_area_km2,coverage,baseline_dryness,p_bar_area_mean_mm_yr,e_bar_area_mean_mm_yr,pre_station_supported_share,pre_mean_station_count,pre_pure_climatology_share,n_cru_cells,n_valid_cru_cells,invalid_reasons
KAZ,Kazakhstan,2641278.198891676,2638585.379534244,0.9989804862817699,-0.6442971728973248,239.59104923583732,999.3235265469754,0.9922661759272814,6.944045056906224,0.0,1402,1390,"{""non-finite month"": 2692.819357}"
LAO,Laos,230512.62345037505,230512.62345037505,1.0,0.16228199007175143,1723.2136130600925,1181.9690678584736,1.0,7.504174823689537,0.0,98,98,{}
LBN,Lebanon,10045.025840654696,10045.025840654696,1.0,-0.2537877927356001,728.4684353318002,1305.7634707987534,1.0,7.491870951527859,0.0,8,8,{}
MYS,Malaysia,330713.55186486396,329014.8862319238,0.9948636346367982,0.4212627534642557,3039.4210273084504,1139.2546500727203,0.9930709998647368,5.880856197162816,0.0,164,146,"{""non-finite month"": 1698.665633}"
MNG,Mongolia,1549501.6943611458,1549501.6943611458,1.0,-0.6066728988395625,226.82905692172528,810.4585315925353,0.6890495858191119,3.1524506813247704,0.0,784,784,{}
NPL,Nepal,143584.1935917943,143584.1935917943,1.0,0.07756874036152775,1384.5082892947605,996.2841204780759,0.9985760576204895,4.284339625705254,0.0,65,65,{}
OMN,Oman,311210.7174326561,310803.6585549383,0.9986920152330361,-1.5522728923735496,56.709760056364324,1866.4326691000942,0.5100138172189991,0.5913582909246478,0.0,143,135,"{""non-finite month"": 407.058878}"
PAK,Pakistan,879331.2324353191,879284.7616479036,0.9999471521245904,-0.8160693012583196,281.0297936784739,1550.7042028925684,0.9392849166729693,4.043325296253134,0.0,375,374,"{""non-finite month"": 46.470787}"
PHL,Philippines,296328.01390719955,289237.1175736568,0.9760707864233066,0.34045597674474565,2641.539711049416,1183.371644916098,0.8195526709252088,6.194082522833399,0.0,269,189,"{""non-finite month"": 7090.896334}"
QAT,Qatar,11392.419132409688,11392.419132409688,1.0,-1.465321596828846,72.91953587613831,2116.526493504566,0.6713827010002287,0.9284322054646413,0.0,10,10,{}
SAU,Saudi Arabia,1913198.1630730159,1911876.6363022565,0.9993092577672996,-1.387253239703704,103.47891453777133,2242.4309997617293,0.2759853886802543,0.7169653571620621,0.399334125542019,746,725,"{""non-finite month"": 1321.526771}"
KOR,South Korea,98071.79394883121,97126.25067465517,0.9903586624032861,0.1746544316715484,1227.7544807276786,818.5833079969447,1.0,7.992165037431129,0.0,74,57,"{""non-finite month"": 945.543274}"
