iso3,Country,terrestrial_area_km2,valid_area_km2,missing_area_km2,coverage,passes_0_98,n_support_cells,n_invalid_support_cells,missing_area_both_pre_and_pet_masked_km2,missing_area_pet_masked_pre_valid_km2,missing_area_pre_masked_pet_valid_km2,missing_area_temporal_partial_km2,missing_area_nonpositive_mean_km2,missing_area_masked_all_1500_months_km2,missing_cells_area_weighted_mean_151_country_land_fraction,missing_cells_max_151_country_land_fraction
IRL,Ireland,69129.1556382827,69028.74145012203,100.41418816066171,0.9985474408412266,True,63,7,54.665976117414566,45.74821204324715,0,0,0,100.41418816066171,0.01920770181536038,0.02364520653140446
ITA,Italy,298917.6442653434,298371.8818875895,545.7623777538786,0.9981742048747401,True,221,28,63.600827262864954,482.1615504910137,0,0,0,545.7623777538786,0.020649274601367226,0.047090615789275196
LVA,Latvia,63182.45063626643,63136.92742919202,45.523207074406415,0.9992794960211898,True,55,3,45.523207074406415,0.0,0,0,0,45.523207074406415,0.014415345535717494,0.018197024521428358
LTU,Lithuania,63429.16212519105,63411.47699295842,17.68513223262244,0.9997211829442469,True,46,1,17.68513223262244,0.0,0,0,0,17.68513223262244,0.04228529377918985,0.04228529377918985
MKD,Macedonia,23833.290018225383,23833.290018225383,0.0,1.0,True,14,0,0.0,0.0,0,0,0,0.0,,
MDA,Moldova,34578.65377507811,34578.65377507811,0.0,1.0,True,22,0,0.0,0.0,0,0,0,0.0,,
MNE,Montenegro,13085.095639931169,13085.095639931169,0.0,1.0,True,10,0,0.0,0.0,0,0,0,0.0,,
NLD,Netherlands,34324.00841544509,33724.4349814102,599.5734340348844,0.9825319517820333,True,33,3,599.5734340348844,0.0,0,0,0,599.5734340348844,0.28281705963859427,0.30070038315822895
NOR,Norway,320144.7624475174,319017.40391059656,1127.3585369208367,0.9964785975934694,True,361,34,932.1573811172822,195.2011558035547,0,0,0,1127.3585369208367,0.09615687030753042,0.22983039421670304
POL,Poland,307428.6074259775,307346.4466607808,82.1607651966549,0.9997327484716384,True,188,2,5.476602106939871,76.68416308971504,0,0,0,82.1607651966549,0.04032380565037741,0.04298439573346313
PRT,Portugal,92423.01380582534,91865.28398625796,557.7298195673807,0.9939654659959571,True,75,17,432.63756194989014,125.09225761749049,0,0,0,557.7298195673807,0.05885228343022166,0.10325691181427096
ROU,Romania,235923.34154926546,235923.34154926546,0.0,1.0,True,130,0,0.0,0.0,0,0,0,0.0,,
RUS,Russia,16653692.815023635,16639053.711419784,14639.103603851181,0.999120969519106,True,12894,392,12008.32686176485,2630.776742086333,0,0,0,14639.103603851181,0.09259144918506271,0.3145273296272199
SRB,Serbia,79153.40496146055,79153.40496146055,0.0,1.0,True,46,0,0.0,0.0,0,0,0,0.0,,
SVK,Slovakia,49893.73736667935,49893.73736667935,0.0,1.0,True,31,0,0.0,0.0,0,0,0,0.0,,
SVN,Slovenia,22029.139026511366,22029.139026511366,0.0,1.0,True,14,0,0.0,0.0,0,0,0,0.0,,
ESP,Spain,503318.3413226153,502939.48468837416,378.8566342411325,0.9992472822801459,True,287,17,266.1784842255903,112.6781500155422,0,0,0,378.8566342411325,0.02978490477870098,0.051339727718151866
SWE,Sweden,428160.6151889965,427763.83357274765,396.78161624880556,0.9990732879153921,True,386,20,164.8188435060816,231.962772742724,0,0,0,396.78161624880556,0.033954874027658594,0.059265700580756704
CHE,Switzerland,38494.095721658705,38494.095721658705,0.0,1.0,True,25,0,0.0,0.0,0,0,0,0.0,,
UKR,Ukraine,589296.2560292487,589143.452507864,152.80352138476073,0.9997407016932123,True,344,6,117.09776534107392,35.70575604368681,0,0,0,152.80352138476073,0.04282519767018515,0.053144193969244115
GBR,United Kingdom,243711.52635704432,242907.202973432,804.3233836123374,0.9966996908368053,True,230,32,167.09762796386207,637.2257556484753,0,0,0,804.3233836123374,0.05690065859976597,0.14491399741545485
BHS,Bahamas,13425.890782776787,11901.722933903167,1524.1678488736202,0.8864754768578278,False,79,50,992.533233244258,531.6346156293617,0,0,0,1524.1678488736202,0.029868474190602488,0.06743213727801856
CAN,Canada,9489886.84648773,9471959.17725696,17927.669230771215,0.9981108658595433,True,8154,454,15664.402067312565,2263.2671634586527,0,0,0,17927.669230771215,0.12079428610423118,0.42653856718353944
