weights,protocol,fit,n_train,n_test,training_boundary_ties,row_sums_exactly_one,logdet_sign_positive_on_grid,logdet_finite_on_grid,spectral_radius,min_real_eigenvalue,training_first_neighbour_km_median,training_eighth_neighbour_km_median,training_eighth_neighbour_km_max,structural_pass,failure,attachment_boundary_ties,attachment_first_km_min,attachment_eighth_km_max,attachment_weights_sum_one
land,buffer_centroid_1500km,BFA,137,1,0,True,True,True,1.0000000000000029,-0.3287874299365249,476.71944599541894,1553.2760711040148,9213.028207715477,True,,0.0,1733.2140906168827,2515.938620952336,True
land,buffer_centroid_1500km,BDI,143,1,0,True,True,True,1.0000000000000033,-0.34250434695358795,460.6164275967239,1496.8015532655563,9213.028207715477,True,,0.0,1525.082616167338,2072.3292798192347,True
land,buffer_centroid_1500km,CMR,141,1,0,True,True,True,1.000000000000001,-0.3308592495663825,471.8595478205712,1502.7936087095948,9213.028207715477,True,,0.0,1544.823760462241,2189.0406575442703,True
land,buffer_centroid_1500km,CAF,140,1,0,True,True,True,0.9999999999999968,-0.31254074411376986,471.3098567253155,1492.2381308043236,9213.028207715477,True,,0.0,1525.082616167338,2153.644140358467,True
land,buffer_centroid_1500km,TCD,144,1,0,True,True,True,1.0,-0.31014782520003625,455.47246562923635,1486.4403452325519,9213.028207715477,True,,0.0,1719.3521698553684,2170.0836228367875,True
land,buffer_centroid_1500km,COG,143,1,0,True,True,True,1.0000000000000009,-0.3482932367340404,460.6164275967239,1496.8015532655563,9213.028207715477,True,,0.0,1641.5505538265022,2064.2735044740966,True
land,buffer_centroid_1500km,COD,141,1,0,True,True,True,1.0000000000000036,-0.3180809585533663,471.8595478205712,1502.7936087095948,9213.028207715477,True,,0.0,1544.823760462241,2146.088788475021,True
land,buffer_centroid_1500km,CIV,140,1,0,True,True,True,1.0000000000000002,-0.32874317540101033,479.0782142318579,1560.207171694409,9213.028207715477,True,,0.0,1502.7936087095948,2484.3729507825633,True
land,buffer_centroid_1500km,DJI,143,1,0,True,True,True,1.0000000000000044,-0.3148179193366076,455.47246562923635,1456.4805715253597,9213.028207715477,True,,0.0,1624.821253273497,2196.8512670564787,True
land,buffer_centroid_1500km,EGY,140,1,0,True,True,True,0.9999999999999977,-0.28799549956758264,473.7398058127394,1538.8044660482253,9213.028207715477,True,,0.0,1504.4929995555337,2057.5561850083936,True
land,buffer_centroid_1500km,GNQ,142,1,0,True,True,True,0.9999999999999968,-0.3529492915133881,474.28949690799504,1539.8034364029618,9213.028207715477,True,,0.0,1611.4829987940502,2264.337360163506,True
land,buffer_centroid_1500km,ERI,144,1,0,True,True,True,0.9999999999999984,-0.3144554909296078,455.47246562923635,1444.3597370210075,9213.028207715477,True,,0.0,1561.2757609505975,1885.7626525637202,True
land,buffer_centroid_1500km,ETH,143,1,0,True,True,True,1.0000000000000018,-0.3126772555153808,455.47246562923635,1444.5188422522847,9213.028207715477,True,,0.0,1596.7537143522538,2230.0367810862326,True
land,buffer_centroid_1500km,GAB,143,1,0,True,True,True,1.0000000000000009,-0.3482932367340404,460.6164275967239,1496.8015532655563,9213.028207715477,True,,0.0,1543.8996811072427,2067.0590625605487,True
land,buffer_centroid_1500km,GHA,140,1,0,True,True,True,1.000000000000004,-0.3348442595485958,477.8988301136384,1571.4244479255017,9213.028207715477,True,,0.0,1551.3101778373132,2288.5422577082163,True
land,buffer_centroid_1500km,GIN,139,1,0,True,True,True,1.0000000000000009,-0.3288712503471468,479.0782142318579,1553.2760711040148,9213.028207715477,True,,0.0,2094.5256839239764,3167.5341946656486,True
land,buffer_centroid_1500km,GNB,142,1,0,True,True,True,0.9999999999999951,-0.31413803529022033,474.28949690799504,1547.4667871827655,9213.028207715477,True,,0.0,1603.6251708568007,2994.4517441994844,True
land,buffer_centroid_1500km,KEN,143,1,0,True,True,True,1.0000000000000002,-0.32235109071170054,460.6164275967239,1470.1629597670772,9213.028207715477,True,,0.0,1575.7106235662,2045.2709741021226,True
land,buffer_centroid_1500km,LSO,145,1,0,True,True,True,0.9999999999999987,-0.31628914243449624,470.7601656300599,1444.5188422522847,9213.028207715477,True,,0.0,1567.1382722848032,3011.081132744028,True
land,buffer_centroid_1500km,LBR,140,1,0,True,True,True,1.0000000000000002,-0.32874317540101033,479.0782142318579,1560.207171694409,9213.028207715477,True,,0.0,1545.8976218167154,2837.763421305713,True
land,buffer_centroid_1500km,LBY,145,1,0,True,True,True,1.000000000000001,-0.33212985440038456,456.62574778596445,1491.2005147497016,9213.028207715477,True,,0.0,1522.9137461516332,1749.9585472728427,True
land,buffer_centroid_1500km,MDG,148,1,0,True,True,True,1.0000000000000007,-0.31875703951490225,458.6210876913442,1492.2381308043236,9213.028207715477,True,,0.0,1768.6884829359244,2448.319447177946,True
land,buffer_centroid_1500km,MWI,142,1,0,True,True,True,0.9999999999999971,-0.32725876231731293,458.6210876913442,1463.3217656462184,9213.028207715477,True,,0.0,1517.4082976822901,2070.633153780456,True
land,buffer_centroid_1500km,MLI,137,1,0,True,True,True,0.9999999999999952,-0.31526865183719477,476.71944599541894,1553.2760711040148,9213.028207715477,True,,0.0,1526.13837361473,2490.9077672819108,True
land,buffer_centroid_1500km,MRT,143,1,0,True,True,True,0.9999999999999969,-0.330917383995762,470.7601656300599,1533.709250989208,9213.028207715477,True,,0.0,1502.7936087095948,2102.649817750974,True
land,buffer_centroid_1500km,MAR,146,1,0,True,True,True,1.000000000000002,-0.31927000960620544,456.0491067076004,1444.3597370210075,9213.028207715477,True,,0.0,1527.4279627819208,2262.993026321785,True
land,buffer_centroid_1500km,MOZ,143,1,0,True,True,True,0.999999999999998,-0.33073874173273055,455.47246562923635,1470.1629597670772,9213.028207715477,True,,0.0,1567.1382722848032,2074.8747442170456,True
land,buffer_centroid_1500km,NAM,144,1,0,True,True,True,1.0000000000000016,-0.32298623406890514,463.69295670801216,1483.4822565163167,9213.028207715477,True,,0.0,1533.709250989208,2602.076591815614,True
land,buffer_centroid_1500km,NER,141,1,0,True,True,True,1.0000000000000029,-0.3204150555265547,456.62574778596445,1575.7106235662,9213.028207715477,True,,0.0,1559.1666022194897,2132.1610681003635,True
land,buffer_centroid_1500km,NGA,139,1,0,True,True,True,1.0000000000000053,-0.330840654567464,470.7601656300599,1596.7537143522538,9213.028207715477,True,,0.0,1508.778537473571,2225.2128785593077,True
land,buffer_centroid_1500km,RWA,142,1,0,True,True,True,1.000000000000006,-0.3302961765435218,458.6210876913442,1499.7975809875757,9213.028207715477,True,,0.0,1596.7537143522538,2035.4428332562663,True
land,buffer_centroid_1500km,SEN,142,1,0,True,True,True,0.9999999999999951,-0.31413803529022033,474.28949690799504,1547.4667871827655,9213.028207715477,True,,0.0,1633.6487836811827,2768.423074095034,True
land,buffer_centroid_1500km,SLE,140,1,0,True,True,True,1.0000000000000009,-0.32761134995141833,479.0782142318579,1547.4667871827655,9213.028207715477,True,,0.0,1568.7072208863985,2801.422403650962,True
land,buffer_centroid_1500km,SOM,145,1,0,True,True,True,1.0000000000000033,-0.3236070624152389,455.47246562923635,1444.5188422522847,9213.028207715477,True,,0.0,1597.2809141473529,2172.932242735167,True
