weights,family,representation,theta,loglik
station,sar,primary_total_co2,-0.039999999999999925,322.4363919506611
station,sar,primary_total_co2,-0.030000000000000027,323.12244272729146
station,sar,primary_total_co2,-0.020000000000000018,323.80628404064623
station,sar,primary_total_co2,-0.010000000000000009,324.4878199095958
station,sar,primary_total_co2,0.0,325.16695199215496
station,sar,primary_total_co2,0.010000000000000009,325.843579546226
station,sar,primary_total_co2,0.020000000000000018,326.51759939039715
station,sar,primary_total_co2,0.030000000000000027,327.18890586482684
station,sar,primary_total_co2,0.040000000000000036,327.8573907922506
station,sar,primary_total_co2,0.050000000000000044,328.5229434391445
station,sar,primary_total_co2,0.06000000000000005,329.1854504770807
station,sar,primary_total_co2,0.07000000000000006,329.84479594430655
station,sar,primary_total_co2,0.08000000000000007,330.5008612075854
station,sar,primary_total_co2,0.09000000000000008,331.15352492432567
station,sar,primary_total_co2,0.10000000000000009,331.8026630050336
station,sar,primary_total_co2,0.1100000000000001,332.4481485761141
station,sar,primary_total_co2,0.1200000000000001,333.0898519430502
station,sar,primary_total_co2,0.13000000000000012,333.72764055398045
station,sar,primary_total_co2,0.14000000000000012,334.36137896369445
station,sar,primary_total_co2,0.15000000000000013,334.9909287980627
station,sar,primary_total_co2,0.16000000000000014,335.6161487189087
station,sar,primary_total_co2,0.16999999999999993,336.23689438932706
station,sar,primary_total_co2,0.17999999999999994,336.8530184394448
station,sar,primary_total_co2,0.18999999999999995,337.464370432612
station,sar,primary_total_co2,0.19999999999999996,338.0707968320029
station,sar,primary_total_co2,0.20999999999999996,338.6721409675933
station,sar,primary_total_co2,0.21999999999999997,339.26824300347135
station,sar,primary_total_co2,0.22999999999999998,339.8589399054227
station,sar,primary_total_co2,0.24,340.4440654087171
station,sar,primary_total_co2,0.25,341.0234499860045
station,sar,primary_total_co2,0.26,341.5969208152086
station,sar,primary_total_co2,0.27,342.1643017472865
station,sar,primary_total_co2,0.28,342.7254132736934
station,sar,primary_total_co2,0.29000000000000004,343.28007249336565
station,sar,primary_total_co2,0.30000000000000004,343.8280930790063
station,sar,primary_total_co2,0.31000000000000005,344.3692852424157
station,sar,primary_total_co2,0.32000000000000006,344.9034556985786
station,sar,primary_total_co2,0.33000000000000007,345.43040762816656
station,sar,primary_total_co2,0.3400000000000001,345.94994063807195
station,sar,primary_total_co2,0.3500000000000001,346.4618507195315
station,sar,primary_total_co2,0.3600000000000001,346.96593020333654
station,sar,primary_total_co2,0.3700000000000001,347.46196771155587
station,sar,primary_total_co2,0.3800000000000001,347.9497481051251
station,sar,primary_total_co2,0.3900000000000001,348.4290524265636
station,sar,primary_total_co2,0.40000000000000013,348.8996578369865
station,sar,primary_total_co2,0.41000000000000014,349.3613375464686
station,sar,primary_total_co2,0.41999999999999993,349.81386073669586
station,sar,primary_total_co2,0.42999999999999994,350.25699247469714
station,sar,primary_total_co2,0.43999999999999995,350.6904936162966
station,sar,primary_total_co2,0.44999999999999996,351.11412069775
station,sar,primary_total_co2,0.45999999999999996,351.52762581382194
station,sar,primary_total_co2,0.47,351.93075648034085
station,sar,primary_total_co2,0.48,352.3232554790007
station,sar,primary_total_co2,0.49,352.70486068188904
station,sar,primary_total_co2,0.5,353.0753048528755
station,sar,primary_total_co2,0.51,353.4343154226075
station,sar,primary_total_co2,0.52,353.78161423341015
station,sar,primary_total_co2,0.53,354.116917249869
station,sar,primary_total_co2,0.54,354.4399342302713
station,sar,primary_total_co2,0.55,354.7503683533818
station,sar,primary_total_co2,0.56,355.04791579421436
station,sar,primary_total_co2,0.5700000000000001,355.3322652415003
station,sar,primary_total_co2,0.5800000000000001,355.6030973484322
station,sar,primary_total_co2,0.5900000000000001,355.8600841069289
station,sar,primary_total_co2,0.6000000000000001,356.1028881340944
station,sar,primary_total_co2,0.6100000000000001,356.3311618576637
station,sar,primary_total_co2,0.6200000000000001,356.54454658498076
station,sar,primary_total_co2,0.6300000000000001,356.74267143735756
station,sar,primary_total_co2,0.6400000000000001,356.9251521283953
station,sar,primary_total_co2,0.6500000000000001,357.0915895608896
station,sar,primary_total_co2,0.6600000000000001,357.2415682121065
station,sar,primary_total_co2,0.6700000000000002,357.3746542712746
station,sar,primary_total_co2,0.6799999999999999,357.49039348580817
station,sar,primary_total_co2,0.69,357.58830866366225
station,sar,primary_total_co2,0.7,357.66789676782093
station,sar,primary_total_co2,0.71,357.72862552456
station,sar,primary_total_co2,0.72,357.76992944890804
station,sar,primary_total_co2,0.73,357.79120516742296
station,sar,primary_total_co2,0.74,357.79180588835703
station,sar,primary_total_co2,0.75,357.77103483018044
station,sar,primary_total_co2,0.76,357.72813736807854
station,sar,primary_total_co2,0.77,357.66229158988386
station,sar,primary_total_co2,0.78,357.5725968614473
station,sar,primary_total_co2,0.79,357.45805987727675
station,sar,primary_total_co2,0.8,357.3175775014477
station,sar,primary_total_co2,0.81,357.14991546548947
station,sar,primary_total_co2,0.8200000000000001,356.9536816523395
station,sar,primary_total_co2,0.8300000000000001,356.727292209036
station,sar,primary_total_co2,0.8400000000000001,356.468928016778
station,sar,primary_total_co2,0.8500000000000001,356.17647797698044
station,sar,primary_total_co2,0.8600000000000001,355.84746393115074
station,sar,primary_total_co2,0.8700000000000001,355.47893945046536
station,sar,primary_total_co2,0.8800000000000001,355.06735054745735
station,sar,primary_total_co2,0.8900000000000001,354.6083393541738
station,sar,primary_total_co2,0.9000000000000001,354.09645961206684
station,sar,primary_total_co2,0.9100000000000001,353.5247506129812
station,sar,primary_total_co2,0.9200000000000002,352.88407361918047
station,sar,primary_total_co2,0.9299999999999999,352.1620276768943
station,sar,primary_total_co2,0.94,351.34106928069014
station,sar,primary_total_co2,0.95,350.3949915756787
station,sar,primary_total_co2,0.96,349.281622086876
station,sar,primary_total_co2,0.97,347.92532615166294
station,sar,primary_total_co2,0.98,346.16462868455494
station,sar,primary_total_co2,0.99,343.5160232797232
station,sem,per_capita,-0.99,287.654559010835
station,sem,per_capita,-0.98,288.0150298537042
station,sem,per_capita,-0.97,288.37567254240906
station,sem,per_capita,-0.96,288.73649331909894
station,sem,per_capita,-0.95,289.0974984454313
station,sem,per_capita,-0.94,289.4586942026675
station,sem,per_capita,-0.9299999999999999,289.82008689174774
station,sem,per_capita,-0.9199999999999999,290.1816828333412
station,sem,per_capita,-0.91,290.54348836787057
station,sem,per_capita,-0.9,290.9055098555108
station,sem,per_capita,-0.89,291.2677536761578
station,sem,per_capita,-0.88,291.6302262293679
station,sem,per_capita,-0.87,291.99293393426433
station,sem,per_capita,-0.86,292.35588322940987
