representation,model,iso3,column,group,value
primary_total_co2,M0star,PRY,intercept,intercept,1.0
primary_total_co2,M0star,PER,intercept,intercept,1.0
primary_total_co2,M0star,SUR,intercept,intercept,1.0
primary_total_co2,M0star,URY,intercept,intercept,1.0
primary_total_co2,M0star,VEN,intercept,intercept,1.0
primary_total_co2,M0star,DZA,cum_co2_total,emissions,3.54855671520855
primary_total_co2,M0star,AGO,cum_co2_total,emissions,2.6907018714035313
primary_total_co2,M0star,BEN,cum_co2_total,emissions,1.8264182132733642
primary_total_co2,M0star,BWA,cum_co2_total,emissions,2.0356218259759236
primary_total_co2,M0star,BFA,cum_co2_total,emissions,1.5845799676666654
primary_total_co2,M0star,BDI,cum_co2_total,emissions,0.9776321652459995
primary_total_co2,M0star,CMR,cum_co2_total,emissions,2.307607271514734
primary_total_co2,M0star,CAF,cum_co2_total,emissions,0.9566965648946508
primary_total_co2,M0star,TCD,cum_co2_total,emissions,1.3783070348568127
primary_total_co2,M0star,COG,cum_co2_total,emissions,2.056294887076228
primary_total_co2,M0star,COD,cum_co2_total,emissions,2.2801593518115966
primary_total_co2,M0star,CIV,cum_co2_total,emissions,2.4275607571873796
primary_total_co2,M0star,DJI,cum_co2_total,emissions,1.1944865905497057
primary_total_co2,M0star,EGY,cum_co2_total,emissions,3.678648920904521
primary_total_co2,M0star,GNQ,cum_co2_total,emissions,1.9391896628066057
primary_total_co2,M0star,ERI,cum_co2_total,emissions,1.0825340528727136
primary_total_co2,M0star,ETH,cum_co2_total,emissions,2.1956091035167655
primary_total_co2,M0star,GAB,cum_co2_total,emissions,2.3903698034350125
primary_total_co2,M0star,GHA,cum_co2_total,emissions,2.3786504088367857
primary_total_co2,M0star,GIN,cum_co2_total,emissions,1.8144806667210172
primary_total_co2,M0star,GNB,cum_co2_total,emissions,0.7416242575038121
primary_total_co2,M0star,KEN,cum_co2_total,emissions,2.5461945949323432
primary_total_co2,M0star,LSO,cum_co2_total,emissions,1.6691308473733326
primary_total_co2,M0star,LBR,cum_co2_total,emissions,1.6446453471398719
primary_total_co2,M0star,LBY,cum_co2_total,emissions,3.25980715157785
primary_total_co2,M0star,MDG,cum_co2_total,emissions,1.8483677262157812
primary_total_co2,M0star,MWI,cum_co2_total,emissions,1.6091246477062942
primary_total_co2,M0star,MLI,cum_co2_total,emissions,1.5949226627169901
primary_total_co2,M0star,MRT,cum_co2_total,emissions,1.734127472631969
primary_total_co2,M0star,MAR,cum_co2_total,emissions,3.116196164571735
primary_total_co2,M0star,MOZ,cum_co2_total,emissions,2.0994907252143977
primary_total_co2,M0star,NAM,cum_co2_total,emissions,1.6883753223375348
primary_total_co2,M0star,NER,cum_co2_total,emissions,1.5213734807610282
primary_total_co2,M0star,NGA,cum_co2_total,emissions,3.5241928844625754
primary_total_co2,M0star,RWA,cum_co2_total,emissions,1.3317915866149979
primary_total_co2,M0star,SEN,cum_co2_total,emissions,2.234954900632999
primary_total_co2,M0star,SLE,cum_co2_total,emissions,1.46372879165109
primary_total_co2,M0star,SOM,cum_co2_total,emissions,1.4755259150392808
primary_total_co2,M0star,ZAF,cum_co2_total,emissions,4.252521117751636
primary_total_co2,M0star,SDN,cum_co2_total,emissions,2.4983932686707004
primary_total_co2,M0star,SWZ,cum_co2_total,emissions,1.5290837045027095
primary_total_co2,M0star,TZA,cum_co2_total,emissions,2.2303032805755483
primary_total_co2,M0star,TGO,cum_co2_total,emissions,1.7093293331159785
