measurement,representation,protocol,fit,n_train,n_test,n_train_sh,n_train_nh,train_lat_min,train_lat_max,train_sh_lat_min,train_sh_lat_max,test_rows_with_unseen_level,baseline_columns,baseline_rank,baseline_singular_max,baseline_singular_min,baseline_condition_raw,baseline_condition_unit_columns,knot_lower_boundary,knot_interior_1,knot_interior_2,knot_upper_boundary,test_below_lower_boundary,test_above_upper_boundary,test_lat_min,test_lat_max,candidate_columns,candidate_rank,candidate_singular_max,candidate_singular_min,candidate_condition_raw,candidate_condition_unit_columns,added_min_singular_value_unit_columns,added_identifiable_dimensions,latitude_state,structural_pass,failure
station,primary_total_co2,primary_loco,GIN,142,1,29,113,0.8,65.09,1.3366666666666667,39.562222222222225,0,20,20,9935.885031240234,0.5437593505191625,18272.577789703842,101.23859942055223,0.8,18.48,38.00714285714286,65.09,0,0,9.2425,9.2425,23,23,13825.467893480416,0.5417368614726017,25520.633497042618,116.04954718280399,0.030132139535547522,3,"{""boundary_knots"": ""training minimum and maximum"", ""knots"": [0.8, 18.48, 38.00714285714286, 65.09], ""knots_hex"": [""0x1.999999999999ap-1"", ""0x1.27ae147ae147bp+4"", ""0x1.300ea0ea0ea0fp+5"", ""0x1.045c28f5c28f6p+6""], ""n_train"": 142, ""probabilities"": [""1/3"", ""2/3""], ""quantile_method"": ""linear"", ""tails"": ""linear beyond the boundary knots"", ""version"": ""m2-latitude-basis-v1""}",True,
station,primary_total_co2,primary_loco,GNB,145,1,29,116,0.8,65.09,1.3366666666666667,39.562222222222225,0,20,20,9956.932340447014,0.5531857328528296,17999.257300252848,100.56895502917378,0.8,16.87,37.78,65.09,0,0,12.05,12.05,23,23,13967.59408159471,0.5511911107189297,25340.746267436163,123.1425712265217,0.026592718275664836,3,"{""boundary_knots"": ""training minimum and maximum"", ""knots"": [0.8, 16.87, 37.78, 65.09], ""knots_hex"": [""0x1.999999999999ap-1"", ""0x1.0deb851eb851fp+4"", ""0x1.2e3d70a3d70a4p+5"", ""0x1.045c28f5c28f6p+6""], ""n_train"": 145, ""probabilities"": [""1/3"", ""2/3""], ""quantile_method"": ""linear"", ""tails"": ""linear beyond the boundary knots"", ""version"": ""m2-latitude-basis-v1""}",True,
station,primary_total_co2,primary_loco,KEN,142,1,24,118,0.8,65.09,1.790769230769231,39.562222222222225,0,20,20,9007.786243550434,0.5459075297447674,16500.57153042369,100.89205124425634,0.8,18.48,38.00714285714286,65.09,0,0,1.3366666666666667,1.3366666666666667,23,23,13728.635105553058,0.5397826818210547,25433.63388250438,126.05111991581256,0.027979480158811392,3,"{""boundary_knots"": ""training minimum and maximum"", ""knots"": [0.8, 18.48, 38.00714285714286, 65.09], ""knots_hex"": [""0x1.999999999999ap-1"", ""0x1.27ae147ae147bp+4"", ""0x1.300ea0ea0ea0fp+5"", ""0x1.045c28f5c28f6p+6""], ""n_train"": 142, ""probabilities"": [""1/3"", ""2/3""], ""quantile_method"": ""linear"", ""tails"": ""linear beyond the boundary knots"", ""version"": ""m2-latitude-basis-v1""}",True,
station,primary_total_co2,primary_loco,LSO,146,1,24,122,0.8,65.09,1.3366666666666667,39.562222222222225,0,20,20,9664.692443554793,0.5526996148231168,17486.338300864987,100.26807229158767,0.8,14.603444444444444,37.38407263294422,65.09,0,0,29.74,29.74,23,23,14137.496135561341,0.5486457896831438,25767.984374264655,143.83145409977902,0.02165317412698196,3,"{""boundary_knots"": ""training minimum and maximum"", ""knots"": [0.8, 14.603444444444444, 37.38407263294422, 65.09], ""knots_hex"": [""0x1.999999999999ap-1"", ""0x1.d34f6ab93aefdp+3"", ""0x1.2b1294ac2e45bp+5"", ""0x1.045c28f5c28f6p+6""], ""n_train"": 146, ""probabilities"": [""1/3"", ""2/3""], ""quantile_method"": ""linear"", ""tails"": ""linear beyond the boundary knots"", ""version"": ""m2-latitude-basis-v1""}",True,
station,primary_total_co2,primary_loco,LBR,143,1,29,114,0.8,65.09,1.3366666666666667,39.562222222222225,0,20,20,9935.715298908253,0.546700959469193,18173.948896221278,101.1549512776312,0.8,18.48,37.93142857142857,65.09,0,0,7.23,7.23,23,23,13817.110816934632,0.5448138040394875,25361.161399525005,116.06835864492231,0.030312947442798013,3,"{""boundary_knots"": ""training minimum and maximum"", ""knots"": [0.8, 18.48, 37.93142857142857, 65.09], ""knots_hex"": [""0x1.999999999999ap-1"", ""0x1.27ae147ae147bp+4"", ""0x1.2f7390d2a6c40p+5"", ""0x1.045c28f5c28f6p+6""], ""n_train"": 143, ""probabilities"": [""1/3"", ""2/3""], ""quantile_method"": ""linear"", ""tails"": ""linear beyond the boundary knots"", ""version"": ""m2-latitude-basis-v1""}",True,
station,primary_total_co2,primary_loco,LBY,142,1,29,113,0.8,65.09,1.3366666666666667,39.562222222222225,0,20,20,9890.58337397643,0.5482989396325514,18038.66952689114,100.08837486610193,0.8,14.947999999999999,36.592217898832686,65.09,0,0,31.827000000000005,31.827000000000005,23,23,13917.836869314684,0.5468162401313635,25452.493631080077,140.9538698482637,0.022149078012546942,3,"{""boundary_knots"": ""training minimum and maximum"", ""knots"": [0.8, 14.947999999999999, 36.592217898832686, 65.09], ""knots_hex"": [""0x1.999999999999ap-1"", ""0x1.de5604189374bp+3"", ""0x1.24bcdcbcdcbcep+5"", ""0x1.045c28f5c28f6p+6""], ""n_train"": 142, ""probabilities"": [""1/3"", ""2/3""], ""quantile_method"": ""linear"", ""tails"": ""linear beyond the boundary knots"", ""version"": ""m2-latitude-basis-v1""}",True,
station,primary_total_co2,primary_loco,MDG,149,1,27,122,0.8,65.09,1.3366666666666667,39.562222222222225,0,20,20,9982.833012947378,0.5579697416908885,17891.35192653117,100.6786139891494,0.8,14.75933333333333,36.310088123031306,65.09,0,0,19.555,19.555,23,23,14043.950024419026,0.5567851933673711,25223.282141327923,142.8582786989086,0.02193709936996926,3,"{""boundary_knots"": ""training minimum and maximum"", ""knots"": [0.8, 14.75933333333333, 36.310088123031306, 65.09], ""knots_hex"": [""0x1.999999999999ap-1"", ""0x1.d84c756b2dbd0p+3"", ""0x1.227b0f7b5a614p+5"", ""0x1.045c28f5c28f6p+6""], ""n_train"": 149, ""probabilities"": [""1/3"", ""2/3""], ""quantile_method"": ""linear"", ""tails"": ""linear beyond the boundary knots"", ""version"": ""m2-latitude-basis-v1""}",True,
station,primary_total_co2,primary_loco,MWI,145,1,23,122,0.8,65.09,1.3366666666666667,39.562222222222225,0,20,20,9603.094149446732,0.5471868966923419,17549.934414540836,101.3390735022939,0.8,15.270000000000001,37.78,65.09,0,0,14.465,14.465,23,23,14122.716580660457,0.5420788172588878,26052.88406596357,143.74486512200286,0.022213063065213576,3,"{""boundary_knots"": ""training minimum and maximum"", ""knots"": [0.8, 15.270000000000001, 37.78, 65.09], ""knots_hex"": [""0x1.999999999999ap-1"", ""0x1.e8a3d70a3d70bp+3"", ""0x1.2e3d70a3d70a4p+5"", ""0x1.045c28f5c28f6p+6""], ""n_train"": 145, ""probabilities"": [""1/3"", ""2/3""], ""quantile_method"": ""linear"", ""tails"": ""linear beyond the boundary knots"", ""version"": ""m2-latitude-basis-v1""}",True,
station,primary_total_co2,primary_loco,MLI,135,1,29,106,0.8,65.09,1.3366666666666667,39.562222222222225,0,20,20,9879.04791753833,0.5280945118196532,18706.969484492714,102.2741454796181,0.8,18.802666666666667,39.442962962962966,65.09,0,0,12.589999999999998,12.589999999999998,23,23,13909.694715441055,0.5262646354396225,26430.988857576183,115.20892121535887,0.030902809920110245,3,"{""boundary_knots"": ""training minimum and maximum"", ""knots"": [0.8, 18.802666666666667, 39.442962962962966, 65.09], ""knots_hex"": [""0x1.999999999999ap-1"", ""0x1.2cd7b900aec34p+4"", ""0x1.3b8b302a7a1f2p+5"", ""0x1.045c28f5c28f6p+6""], ""n_train"": 135, ""probabilities"": [""1/3"", ""2/3""], ""quantile_method"": ""linear"", ""tails"": ""linear beyond the boundary knots"", ""version"": ""m2-latitude-basis-v1""}",True,
station,primary_total_co2,primary_loco,MRT,142,1,29,113,0.8,65.09,1.3366666666666667,39.562222222222225,0,20,20,9926.504742673707,0.5489281006737537,18083.433386794968,100.58633829443698,0.8,15.270000000000001,37.78,65.09,0,0,18.48,18.48,23,23,14096.799102917159,0.5472669941703252,25758.540626569982,137.90653623001236,0.022848061332720875,3,"{""boundary_knots"": ""training minimum and maximum"", ""knots"": [0.8, 15.270000000000001, 37.78, 65.09], ""knots_hex"": [""0x1.999999999999ap-1"", ""0x1.e8a3d70a3d70bp+3"", ""0x1.2e3d70a3d70a4p+5"", ""0x1.045c28f5c28f6p+6""], ""n_train"": 142, ""probabilities"": [""1/3"", ""2/3""], ""quantile_method"": ""linear"", ""tails"": ""linear beyond the boundary knots"", ""version"": ""m2-latitude-basis-v1""}",True,
