iso3,Country,total_land_area_km2,native_valid_area_km2,harmonized_area_km2,unresolved_area_km2,unresolved_structural_area_km2,non_structural_invalid_area_km2,native_fraction,harmonized_fraction,unresolved_fraction,coverage,n_cru_cells,n_native_cells,n_harmonized_cells,n_unresolved_cells,n_non_structural_invalid_cells,n_cross_border_cells,cross_border_area_km2,mean_donor_distance_km,area_weighted_mean_donor_distance_km,max_donor_distance_km,c2_native_support_only,c2_harmonized,delta_c2_harmonization,p_bar_native_area_mean_mm_yr,e_bar_native_area_mean_mm_yr,pre_station_supported_share,pre_mean_station_count,pre_pure_climatology_share
SOM,Somalia,633117.3597401825,632952.1534104182,165.20632976430696,0.0,0.0,0.0,0.9997390589166089,0.0002609410833910857,0.0,1.0,252,245,7,0,0,0,0.0,55.13720167948002,55.2068311997,55.28984294707591,-0.9478741929276064,-0.9478454250558261,2.8767871780299714e-05,247.3886845595816,1931.043904585482,0.8397786087108239,3.3232869475145264,0.06182830801454942
ZAF,South Africa,1220021.7881339747,1219852.7336805866,169.054453387971,0.0,0.0,0.0,0.9998614332505925,0.0001385667494074348,0.0,1.0,512,507,5,0,0,0,0.0,46.67966032743593,46.3034348703493,48.36356399812527,-0.557060290850058,-0.5570233422805293,3.6948569528738595e-05,474.350544922241,1442.9694449185447,0.9997381088044927,7.997783950771666,0.0
SDN,Sudan,1862259.576883068,1862172.8786054887,86.6982775794479,0.0,0.0,0.0,0.999953444579555,4.65554204449618e-05,0.0,1.0,660,655,5,0,0,0,0.0,62.208895546708746,54.97247666249283,76.4905457952196,-1.2108183796659135,-1.2108185895223982,-2.098564846342299e-07,283.8014207261095,2089.1270867668445,0.7535370898640888,4.322292535931602,0.018739981993063048
SWZ,Swaziland,17279.721670219784,17279.721670219784,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,11,11,0,0,0,0,0.0,NA,NA,NA,-0.19782008933855233,-0.19782008933855233,0.0,844.4378750243494,1303.9240691338637,1.0,8.0,0.0
TZA,Tanzania,890809.8439538183,890539.5167863787,270.3271674396573,0.0,0.0,0.0,0.999696537741164,0.0003034622588360975,0.0,1.0,340,336,4,0,0,1,194.62508253702458,55.16769881996371,55.23616520225443,55.29055909766637,-0.18166772243238533,-0.18165609999591856,1.1622436466768304e-05,931.7415764103658,1381.7487891259702,0.9981483561315733,7.833406638079224,0.0
TGO,Togo,61396.61797970473,61396.61797970473,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,28,28,0,0,0,0,0.0,NA,NA,NA,-0.04055048665777438,-0.04055048665777438,0.0,1224.7986560747163,1339.0812195586038,1.0,7.999037343054188,0.0
TUN,Tunisia,155502.67779252777,155391.5710511032,111.10674142456452,0.0,0.0,0.0,0.999285499497489,0.0007145005025109827,0.0,1.0,84,81,3,0,0,0,0.0,51.78066413849581,50.04957196502396,55.493519319463516,-0.9174216711751012,-0.9170445193090879,0.0003771518660132811,251.74757605223442,1462.9491004130837,1.0,7.998430910897974,0.0
UGA,Uganda,205926.3482680487,205926.3482680487,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,87,87,0,0,0,0,0.0,NA,NA,NA,-0.0946799516102337,-0.0946799516102337,0.0,1134.617826635776,1405.6484376486928,1.0,7.9969641024430045,0.0
ZMB,Zambia,741216.9132317905,741216.9132317905,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,275,275,0,0,0,0,0.0,NA,NA,NA,-0.11958188952068632,-0.11958188952068632,0.0,1006.5266044310392,1307.0071840670553,0.997005966363229,7.8398472871049965,0.0
ZWE,Zimbabwe,388795.5575149592,388795.5575149592,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,148,148,0,0,0,0,0.0,NA,NA,NA,-0.2936083616964398,-0.2936083616964398,0.0,718.6034558544098,1372.7277856790117,1.0,7.999931690136887,0.0
AFG,Afghanistan,642179.4188530908,642179.4188530908,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,276,276,0,0,0,0,0.0,NA,NA,NA,-0.7146694628589113,-0.7146694628589113,0.0,315.16308785102564,1404.6200515131025,0.9269925973239177,3.8689425395374055,0.0
ARM,Armenia,29225.768207239817,29225.768207239817,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,18,18,0,0,0,0,0.0,NA,NA,NA,-0.21202360060967626,-0.21202360060967626,0.0,565.6790347127395,899.7966716521905,1.0,7.886803392833309,0.0
AZE,Azerbaijan,85759.91761451519,85712.52095198055,47.39666253463279,0.0,0.0,0.0,0.9994473331615397,0.0005526668384603337,0.0,1.0,54,52,2,0,0,0,0.0,43.00295466998597,43.1228341505341,43.4651538096312,-0.3116949698066961,-0.31167445020336865,2.0519603327440183e-05,486.44944600147016,954.5117774950071,0.9999611900968995,7.805812140012322,0.0
BGD,Bangladesh,135738.43017362972,135597.7724606073,140.65771302241444,0.0,0.0,0.0,0.9989637591001862,0.0010362408998136506,0.0,1.0,69,67,2,0,0,0,0.0,51.809590530530315,51.76766943645083,51.89812326299922,0.29601280246847184,0.2960988617603756,8.605929190375061e-05,2467.586768655167,1193.3769522602483,0.9998536341711428,5.700000712672761,0.0
MMR,Burma,667744.3362052138,665663.3055894625,1896.9240449967258,184.10657075460395,184.10657075460395,0.0,0.9968834919251015,0.0028407939118988736,0.00027571416299968974,0.9997242858370003,299,272,22,5,0,4,219.80458327834447,57.130334798459245,55.04941775915053,77.92614894568324,0.2260011424818178,0.22660987921648995,0.0006087367346721551,2109.3538891398753,1157.636392087328,0.9726300953622988,4.768904992336771,0.0
KHM,Cambodia,176115.28073262883,176070.5262656305,39.59664992099272,5.157817077358211,5.157817077358211,0.0,0.999745879705542,0.00022483369845179287,2.92865960063318e-05,0.9999707134039937,73,69,3,1,0,0,0.0,62.39499049381192,55.805447769030515,77.81050816413146,0.11051562928577324,0.11057484550586248,5.9216220089239324e-05,1770.3144307523232,1331.9851240069443,0.9986680618951302,6.000325798317722,0.0
CHN,China,9314818.081733596,9312961.740522852,1847.4032876286506,8.937923113723347,8.937923113723347,0.0,0.9998007109538313,0.000198329508039606,9.595381289571997e-07,0.9999990404618709,4018,3976,39,3,0,2,52.98193459485363,50.242352990055814,49.58208686399253,73.32428334159901,-0.3877733313185877,-0.3876841946530638,8.913666552390342e-05,590.923183834408,889.5456725878125,0.7882008810503208,4.394122451069455,0.0627099499760306
GEO,Georgia,69286.78068560013,69279.12074810758,7.659937492534768,0.0,0.0,0.0,0.9998894459027141,0.00011055409728578618,0.0,1.0,42,41,1,0,0,0,0.0,40.9353269082717,40.9353269082717,40.9353269082717,0.0931645259418555,0.09318305637938669,1.8530437531194544e-05,1060.4224720882696,819.9195687444391,1.0,7.951614433499461,0.0
IND,India,3158591.419039531,3156446.6036235564,1633.5029001993769,511.3125157756707,511.3125157756707,0.0,0.9993209582591005,0.0005171618242083665,0.00016187991669120387,0.9998381200833087,1267,1228,20,19,0,0,0.0,56.12579135266871,57.208047247006284,78.12340974999813,-0.19991309041672486,-0.19969311686803579,0.0002199735486890786,1134.5542069321625,1520.055213780411,0.9994659671596554,7.132177210181335,0.0
IDN,Indonesia,1897440.3510512533,1880615.0984405372,15816.92173425282,1008.330876461209,1008.330876461209,0.0,0.9911326579508051,0.008335925672440587,0.0005314163767533223,0.9994685836232463,1214,915,234,65,0,0,0.0,58.849141406794416,57.6684442489388,78.45161398316293,0.3355729762355394,0.3346510484922892,-0.0009219277432501727,2733.876400122578,1234.6749333063929,0.7579613781734732,3.4302814521989586,0.07379300663218459
IRN,Iran,1617661.0020883293,1616601.3779067781,1059.6241815510837,0.0,0.0,0.0,0.9993449652429135,0.0006550347570864078,0.0,1.0,687,675,12,0,0,2,29.649064313089816,52.7975785274996,46.9447935303077,74.79974773365697,-0.8645129683153921,-0.8642126366734831,0.00030033164190901296,232.29787848977438,1491.852389357923,0.7748384244312374,2.9081488683792953,0.0016259443733627008
IRQ,Iraq,440934.90216792875,440934.90216792875,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,191,191,0,0,0,0,0.0,NA,NA,NA,-1.0537321397250505,-1.0537321397250505,0.0,206.93680478326834,2029.7246694874632,0.5750703069782888,1.964535996843232,0.012076554137924819
ISR,Israel,21870.81354761619,21870.81354761619,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15,15,0,0,0,0,0.0,NA,NA,NA,-0.8506789745873258,-0.8506789745873258,0.0,312.9291280437571,1590.5075457341786,0.993942757319589,7.045753301763113,0.0
JPN,Japan,371511.12039189885,369090.66995103244,2082.829329039841,337.6211118265948,337.6211118265948,0.0,0.9934848506329687,0.005606371423936679,0.000908777943094801,0.9990912220569051,324,241,57,26,0,1,10.670734571848483,50.637878583488686,48.79419963189041,74.52127425328989,0.320535394822658,0.32060553393234176,7.013910968373116e-05,1598.018840218274,750.4267405314517,0.9996661022401819,7.8800896414721056,0.0
