iso3,Country,m49_subregion,observed,C0_cv_prediction,M1a_cv_prediction,C0_abs_error,M1a_abs_error,C0_unseen_levels,M1a_unseen_levels,abs_error_change,pair
MDA,Moldova,Eastern Europe,0.15544942684686172,0.19639061955913295,0.1972920048681156,0.04094119271227123,0.04184257802125388,0,0,0.0009013853089826496,primary
MNE,Montenegro,Southern Europe,0.1643666862725019,0.17265293552167568,0.17452619437808292,0.008286249249173788,0.010159508105581028,0,0,0.0018732588564072394,primary
NLD,Netherlands,Western Europe,0.18877545734026732,0.151347586682423,0.14004507451306483,0.03742787065784431,0.04873038282720249,0,0,0.011302512169358181,primary
NOR,Norway,Northern Europe,0.20191951273050374,0.20726471017258746,0.20835179642455817,0.005345197442083727,0.006432283694054436,0,0,0.0010870862519707092,primary
POL,Poland,Eastern Europe,0.18403612522932167,0.20864790917108444,0.196366439345521,0.024611783941762777,0.012330314116199337,0,0,-0.01228146982556344,primary
PRT,Portugal,Southern Europe,0.1846817946752158,0.16015597780110227,0.15951493412919032,0.024525816874113537,0.025166860546025488,0,0,0.0006410436719119506,primary
ROU,Romania,Eastern Europe,0.1626491375716469,0.22645584055005313,0.21641859842604813,0.06380670297840624,0.053769460854401235,0,0,-0.010037242124005002,primary
RUS,Russia,Eastern Europe,0.262173281711931,0.23041417864896926,0.22251420281202478,0.03175910306296173,0.03965907889990622,0,0,0.00789997583694449,primary
SRB,Serbia,Southern Europe,0.1777828851474587,0.20442347620757434,0.20461826036167016,0.026640591060115626,0.02683537521421145,0,0,0.00019478415409582284,primary
SVK,Slovakia,Eastern Europe,0.17135924127324334,0.2375703156693219,0.23466337067565063,0.06621107439607857,0.06330412940240729,0,0,-0.002906944993671279,primary
SVN,Slovenia,Southern Europe,0.2104092831778439,0.19999387592512324,0.19753147829736614,0.010415407252720665,0.012877804880477767,0,0,0.0024623976277571014,primary
ESP,Spain,Southern Europe,0.19118695961871326,0.1624962436915376,0.15440928896829853,0.028690715927175675,0.036777670650414734,0,0,0.00808695472323906,primary
SWE,Sweden,Northern Europe,0.21924683880167534,0.19851480935481314,0.19807374192106247,0.0207320294468622,0.021173096880612863,0,0,0.0004410674337506637,primary
