iso3,Country,changed,old_n_train,corrected_n_train,newly_excluded,newly_retained,excluded_codes,retained_codes,minimum_retained_clearance_lower_km
MKD,Macedonia,True,140,139,1,0,HUN,,550.1872309204372
MDA,Moldova,True,143,139,4,0,TUR|GRC|RUS|SRB,,568.1431789453329
MNE,Montenegro,True,139,137,2,0,AUT|SVK,,506.9514190084059
NLD,Netherlands,True,144,138,6,0,AUT|CZE|ITA|NOR|POL|SWE,,606.5995382433201
NOR,Norway,True,144,143,1,0,NLD,,525.0751955757905
POL,Poland,True,132,129,3,0,BIH|ITA|NLD,,516.1513126517902
PRT,Portugal,False,147,147,0,0,,,502.80410892048315
ROU,Romania,False,132,132,0,0,,,500.6829492326859
RUS,Russia,True,128,124,4,0,IRQ|KOR|CZE|MDA,,510.89421444985624
SRB,Serbia,True,133,131,2,0,DEU|MDA,,620.6316199825837
SVK,Slovakia,True,136,133,3,0,BGR|MNE|CHE,,506.53074534544373
SVN,Slovenia,True,136,134,2,0,ALB|UKR,,523.0003061461504
ESP,Spain,True,146,142,4,0,MRT|TUN|ITA|CHE,,632.7715866249459
SWE,Sweden,True,141,138,3,0,BLR|CZE|NLD,,629.3631220012767
CHE,Switzerland,True,141,137,4,0,BIH|HUN|SVK|ESP,,526.9858117933452
UKR,Ukraine,True,136,130,6,0,GEO|KAZ|BIH|GRC|LVA|SVN,,550.1872309204372
GBR,United Kingdom,True,144,143,1,0,DNK,,550.8784160473896
BHS,Bahamas,True,146,145,1,0,JAM,,649.753202684238
CAN,Canada,False,149,149,0,0,,,1211.70507087315
CRI,Costa Rica,True,146,145,1,0,COL,,522.0485865536078
CUB,Cuba,True,144,142,2,0,HND|COL,,626.2791298879949
DOM,Dominican Republic,True,147,146,1,0,JAM,,513.5751905242428
SLV,El Salvador,False,145,145,0,0,,,621.3832720483516
GTM,Guatemala,False,146,146,0,0,,,522.0485865536078
HTI,Haiti,True,146,145,1,0,COL,,605.476460412235
HND,Honduras,True,145,142,3,0,CUB|JAM|COL,,543.6258175805675
JAM,Jamaica,True,148,144,4,0,BHS|DOM|HND|COL,,502.6764474773437
MEX,Mexico,True,145,144,1,0,NIC,,649.753202684238
NIC,Nicaragua,True,145,143,2,0,MEX|COL,,502.6764474773437
PAN,Panama,True,147,146,1,0,VEN,,543.6258175805675
USA,United States,False,145,145,0,0,,,693.3867407223388
AUS,Australia,False,148,148,0,0,,,573.2862742563728
NZL,New Zealand,False,150,150,0,0,,,573.2862742563728
PNG,Papua New Guinea,False,148,148,0,0,,,1885.2356988228598
ARG,Argentina,False,145,145,0,0,,,531.5088271370684
BOL,Bolivia,False,145,145,0,0,,,726.5460124230909
BRA,Brazil,True,142,141,1,0,ECU,,706.9167400925614
CHL,Chile,True,147,146,1,0,PRY,,706.9167400925614
COL,Colombia,True,145,139,6,0,CRI|CUB|HTI|HND|JAM|NIC,,513.5751905242428
ECU,Ecuador,True,148,147,1,0,BRA,,591.9986379136827
PRY,Paraguay,True,146,145,1,0,CHL,,807.4705432316664
PER,Peru,False,145,145,0,0,,,531.5088271370684
SUR,Suriname,False,148,148,0,0,,,1011.1920654792765
URY,Uruguay,False,147,147,0,0,,,1000.6055544230104
VEN,Venezuela,True,147,146,1,0,PAN,,519.4213053467744
