iso3,Country,terrestrial_area_km2,elevation_original_coverage,elevation_coverage,elevation_completed_area_km2,elevation_unresolved_area_km2,elevation_original_centre_only,elevation,elevation_change_vs_original,elevation_s1_completed_at_0m,elevation_s2_unresolved_at_0m,elevation_s3_ring2_completion,elevation_s3_coverage,elevation_s4_unresolved_at_completed_min,elevation_s4_unresolved_at_completed_max,s1_completed_at_0m_minus_primary,s2_unresolved_at_0m_minus_primary,s3_ring2_completion_minus_primary,s4_unresolved_at_completed_min_minus_primary,s4_unresolved_at_completed_max_minus_primary
MLI,Mali,1251659.4797514956,0.9992444836720908,0.9999973326093896,942.3105091908744,3.338664727337937,317.519588777789,317.4849791046468,-0.0346096731421994,317.2805438551799,317.48413224819456,317.484833204847,0.9999999999999868,317.4847580710902,317.4850784534542,-0.20443524946688285,-0.0008468564522559063,-0.00014589979980428325,-0.0002210335566132926,9.9348807395927e-05
MRT,Mauritania,1041473.3518869448,0.9995942983933708,0.9999909437233788,413.09554135373554,9.43187076287523,260.77186253294667,260.66987418756395,-0.1019883453827219,260.66842765474064,260.6675134890765,260.66856601763146,0.9999959415905584,260.66703973260604,260.667823162653,-0.0014465328233086439,-0.0023606984874504633,-0.0013081699324857254,-0.0028344549579060185,-0.0020510249109406686
MAR,Morocco,409414.6933407324,0.9990538312631774,0.9999917156525194,383.9836496515144,3.391733581017423,875.9900741772666,875.2273574257412,-0.7627167515254314,875.1684899551881,875.2201067381877,875.2205657601945,0.9999995257560186,875.2200954886616,875.2243740007349,-0.05886747055308206,-0.007250687553437274,-0.006791665546643344,-0.007261937079533709,-0.0029834250062776846
MOZ,Mozambique,779436.9994305817,0.997902641059105,0.9999737239673264,1614.2786475561136,20.4805120636217,353.2952879799799,352.7377087884489,-0.5575791915309765,352.56356492071035,352.7284402408876,352.7324166260068,0.9999889758882156,352.7272178358324,352.751821295944,-0.1741438677385645,-0.00926854756130524,-0.005292162442117387,-0.010490952616521554,0.01411250749509918
NAM,Namibia,820093.3269200681,0.9995813018173072,0.999997413832589,341.25068698378624,2.1208986450898593,1091.1543704759322,1090.7097957065284,-0.4445747694037436,1090.7003268576173,1090.7069749484,1090.707431020371,0.9999996204954495,1090.7069330848146,1090.7072887872314,-0.009468848911183159,-0.00282075812833682,-0.002364686157534379,-0.0028626217138025822,-0.002506919297047716
NER,Niger,1187341.3996926297,0.999980008206272,0.9999995462304956,23.198305028955836,0.53877931854369,458.33205056003294,458.32779146088455,-0.0042590991483848,458.3230956532632,458.32758348570985,458.3277851781749,0.9999995823588348,458.3276807113873,458.32771326286377,-0.004695807621374115,-0.00020797517470327875,-6.2827096485307266e-06,-0.00011074949725298211,-7.819802078756766e-05
NGA,Nigeria,894660.433618917,0.9985938732009414,0.999997930171069,1256.1542177200402,1.8517940430784936,326.2063069161272,325.8308904917423,-0.3754164243848663,325.74829372919305,325.8302160775385,325.83089016195873,0.999997937859828,325.8301648857465,325.830807783671,-0.08259676254925807,-0.0006744142037860001,-3.2978357467072783e-07,-0.0007256059957967409,-8.270807131793845e-05
RWA,Rwanda,24860.68554957588,0.996019653782974,1.0,98.95413567993036,0.0,1705.504218813722,1704.4577298697038,-1.046488944018165,1698.7157215482448,1704.4577298697038,1704.4577298697038,1.0,1704.4577298697038,1704.4577298697038,-5.742008321459025,0.0,0.0,0.0,0.0
SEN,Senegal,192440.6071748298,0.9977103082619448,0.9999700404304206,434.8642305539562,5.765437761455468,49.71412429942384,49.614891496240496,-0.0992328031833409,49.60178032773979,49.613405055446535,49.61365243647808,0.999995705828407,49.612915967591306,49.61450741581165,-0.013111168500707038,-0.0014864407939612079,-0.0012390597624190036,-0.0019755286491900392,-0.0003840804288444133
SLE,Sierra Leone,74510.34802224152,0.9960200326230404,0.9999151770436012,290.2285663728956,6.320188001957094,196.6324841514444,195.89843517166943,-0.7340489797749399,195.866507255476,195.88181848724437,195.88470561960716,0.9999830708930962,195.88028671378612,195.89212188576315,-0.03192791619343893,-0.016616684425059702,-0.013729552062272887,-0.01814845788331354,-0.006313285906287547
SOM,Somalia,633117.3597401772,0.9988120063637962,0.9999808463550908,740.0128892471383,12.126505092343148,419.24139472079736,418.7988213261063,-0.44257339469101,418.7513592266758,418.7907998021943,418.79138088581703,0.9999990370011864,418.78918290764057,418.8016090271788,-0.04746209943050417,-0.008021523912020712,-0.007440440289258277,-0.009638418465726772,0.0027877010725205764
ZAF,South Africa,1220021.7881341793,0.999216594374771,0.9999972868346342,952.4618108652896,3.3101208762672285,1031.725563208946,1031.164641672632,-0.5609215363140265,1030.9201006557475,1031.16184395244,1031.1625215495674,0.9999993843768116,1031.1617118792535,1031.1659880984696,-0.24454101688434093,-0.0027977201918929495,-0.0021201230645147007,-0.0029297933783709595,0.0013464258377098304
SDN,Sudan,1862259.57688351,0.9998147578566778,0.9999881340288114,322.871436959123,22.097518486751856,529.9570054983617,529.8823442087107,-0.0746612896509759,529.8651224910719,529.8760566400811,529.8797102436738,0.9999931196208738,529.8731524436323,529.8820621575472,-0.017221717638790324,-0.00628756862965929,-0.0026339650369209267,-0.009191765078412573,-0.00028205116348090087
SWZ,Swaziland,17279.7216702198,1.0,1.0,0.0,0.0,644.23699697905,644.23699697905,0.0,644.23699697905,644.23699697905,644.23699697905,1.0,,,0.0,0.0,0.0,,
TZA,Tanzania,890809.8439540312,0.9982493088978298,0.9999734034461418,1535.8403955438716,23.69247199756663,1015.5396083759366,1014.9287481278858,-0.6108602480508125,1013.7886755047604,1014.901754520774,1014.9230118773552,0.9999922186054472,1014.9012240962056,1014.9736405731104,-1.140072623125434,-0.026993607111762685,-0.005736250530617326,-0.02752403168017281,0.04489244522460467
TGO,Togo,61396.617979706985,0.9996526850945664,1.0000000000000004,21.32396056759007,0.0,255.09907970267395,255.01275111071024,-0.0863285919637064,255.0104799899307,255.01275111071033,255.01275111071024,1.0000000000000004,255.01275111071033,255.01275111071033,-0.002271120779539615,8.526512829121202e-14,0.0,8.526512829121202e-14,8.526512829121202e-14
TUN,Tunisia,155502.67779255612,0.9977239722700912,0.9999461514121408,345.55480712348003,8.373599607785211,256.42913446645343,255.9207355401292,-0.5083989263242188,255.85927230615567,255.90695456991648,255.91211611426775,0.9999816946345,255.9068203784368,255.9251207674085,-0.06146323397351239,-0.013780970212707189,-0.008619425861439822,-0.013915161692381162,0.004385227279300352
UGA,Uganda,205926.348268032,0.995980180498161,0.9999161943297296,810.5289550673971,17.25779564354079,1156.7355034082102,1156.4943713867658,-0.2411320214444003,1152.1821948742554,1156.3974506008078,1156.4942722488825,0.9999631047704064,1156.4494493580858,1156.5744914992097,-4.312176512510405,-0.09692078595799103,-9.91378833532508e-05,-0.04492202868004824,0.08012011244386485
ZMB,Zambia,741216.9132318273,0.9994322523596398,0.9999987326129895,419.8847447948542,0.939408687911354,1123.055285870512,1122.9450059722494,-0.1102798982626609,1122.4190964213478,1122.9435827663356,1122.9442785355386,1.0000000000000002,1122.9441955479551,1122.945091171513,-0.5259095509015879,-0.0014232059138521436,-0.0007274367108038859,-0.0008104242942863493,8.519926359440433e-05
ZWE,Zimbabwe,388795.557514974,0.9995377809113688,0.9999919133420808,176.56467158437542,3.1440566747848453,976.017068772015,975.822072018908,-0.1949967531069205,975.5738241837896,975.8141808796216,975.8188802464498,0.9999985759721592,975.8180907787264,975.8229218103584,-0.24824783511837722,-0.00789113928635743,-0.003191772458194464,-0.003981240181587964,0.0008497914503777793
AFG,Afghanistan,642179.4188531686,0.999980102688778,0.9999999999999998,12.77764375701015,0.0,1802.3079047601627,1802.3084011660112,0.0004964058487075,1802.2720436788643,1802.3084011660112,1802.3084011660112,0.9999999999999998,1802.3084011660112,1802.3084011660112,-0.036357487146915446,0.0,0.0,0.0,0.0
ARM,Armenia,29225.76820724004,0.9985734968696124,0.9999999999999996,41.69064983559947,0.0,1852.888530193389,1853.0885791888213,0.2000489954323256,1850.2453789048095,1853.0885791888209,1853.0885791888213,0.9999999999999996,1853.0885791888209,1853.0885791888209,-2.8432002840118002,-4.547473508864641e-13,0.0,-4.547473508864641e-13,-4.547473508864641e-13
AZE,Azerbaijan,85759.91761451382,0.9977858564980672,1.000000000000003,189.88476431275052,0.0,643.473824875718,642.0538178101762,-1.4200070655418813,642.0490814877036,642.0538178101782,642.0538178101762,1.000000000000003,642.0538178101782,642.0538178101782,-0.004736322472581378,2.0463630789890885e-12,0.0,2.0463630789890885e-12,2.0463630789890885e-12
BGD,Bangladesh,135738.43017362553,0.9924642613750416,0.9999031023597654,1009.7365975776576,13.152733572409064,25.37462280575267,25.277489771938765,-0.097133033813904,25.18584672969702,25.27504044282881,25.27539013063775,0.9999930815931692,25.27287033942782,25.29266512054475,-0.09164304224174558,-0.0024493291099538794,-0.0020996413010152537,-0.004619432510946098,0.015175348605986017
MMR,Burma,667744.3362051883,0.9963452929978692,0.999785097130719,2296.909727365722,143.50017379234777,570.5016546502317,568.6312016553268,-1.8704529949048947,568.5388188817295,568.5090011785284,568.5611398857242,0.9999154649230088,568.4842739171323,568.5750848470441,-0.09238277359725089,-0.12220047679841173,-0.07006176960260291,-0.14692773819444938,-0.056116808282695274
