Country,iso3,berkeley,era5,b_residual,e_residual,m49_subregion,m49_region,b_minus_e,b_sign,e_sign,sign_agreement,squared_gap_share,station_knn8_b_minus_e_local_i,station_knn8_b_minus_e_p_value,station_knn8_b_minus_e_q_value,station_knn8_b_minus_e_quadrant,station_knn8_b_minus_e_label,station_knn8_b_minus_e_fdr_label,station_knn8_b_residual_local_i,station_knn8_b_residual_p_value,station_knn8_b_residual_q_value,station_knn8_b_residual_quadrant,station_knn8_b_residual_label,station_knn8_b_residual_fdr_label,station_knn8_e_residual_local_i,station_knn8_e_residual_p_value,station_knn8_e_residual_q_value,station_knn8_e_residual_quadrant,station_knn8_e_residual_label,station_knn8_e_residual_fdr_label,area_knn8_b_minus_e_local_i,area_knn8_b_minus_e_p_value,area_knn8_b_minus_e_q_value,area_knn8_b_minus_e_quadrant,area_knn8_b_minus_e_label,area_knn8_b_minus_e_fdr_label,area_knn8_b_residual_local_i,area_knn8_b_residual_p_value,area_knn8_b_residual_q_value,area_knn8_b_residual_quadrant,area_knn8_b_residual_label,area_knn8_b_residual_fdr_label,area_knn8_e_residual_local_i,area_knn8_e_residual_p_value,area_knn8_e_residual_q_value,area_knn8_e_residual_quadrant,area_knn8_e_residual_label,area_knn8_e_residual_fdr_label
United Kingdom,GBR,0.16309409461298247,0.20206555457356384,-0.016064435061085625,-0.006331422714648038,Northern Europe,Europe,-0.03897145996058138,-1,-1,True,0.002089536432655702,0.01809949843071455,0.7211,0.9979727272727272,LL,ns,ns,-0.09326479438757562,0.6348,0.7921884297520662,LH,ns,ns,-0.042787455650953314,0.2947,0.7806964912280703,LH,ns,ns,-0.024005538889067236,0.6377,0.8997083333333333,LH,ns,ns,-0.06495393695342622,0.7423,0.88087265625,LH,ns,ns,-0.0030573259703999983,0.94,0.9895999999999999,LH,ns,ns
Bahamas,BHS,0.13991083211606994,0.07305860171046395,-0.0057427483065260465,-0.03910058201732938,Caribbean,Americas,0.06685223040560599,-1,-1,True,0.006148772133264122,0.30289364651542383,0.5664,0.9262371134020618,HH,ns,ns,-0.013411620799610063,0.8507,0.9241417266187051,LH,ns,ns,0.02700573139126204,0.9191,0.9842843971631206,LL,ns,ns,0.08607554505779576,0.8651,0.9821812030075188,HH,ns,ns,-0.003962092936481161,0.9557,0.9876632653061224,LH,ns,ns,-0.043588483807447495,0.8696,0.9895999999999999,LH,ns,ns
Canada,CAN,0.2521930060529909,0.32362439801621534,0.06360355776476895,0.09196012506318665,Northern America,Americas,-0.07143139196322446,1,1,True,0.007019962992183001,0.055446151721463784,0.8095,0.9989,LL,ns,ns,-0.4917492822343179,0.5317,0.746750925925926,HL,ns,ns,-0.12919604838527357,0.8227,0.983250724637681,HL,ns,ns,0.22459153591121775,0.3265,0.694387323943662,LL,ns,ns,-0.7013375388567283,0.3707,0.6387299999999999,HL,ns,ns,-0.30245675685192386,0.5998,0.9895999999999999,HL,ns,ns
Costa Rica,CRI,0.10130466192673268,0.09753622597162839,-0.018826410041164338,-0.03129599114306206,Central America,Americas,0.003768435955104288,-1,-1,True,1.953794460163919e-05,-0.04118574758011707,0.8251,0.9989,HL,ns,ns,0.23011151503969757,0.3136,0.6091560975609757,LL,ns,ns,0.04954288763610811,0.8013,0.983250724637681,LL,ns,ns,-0.08739613972766395,0.6435,0.8997083333333333,HL,ns,ns,0.1620612689363796,0.4767,0.7094039215686274,LL,ns,ns,-0.0580524949549686,0.7684,0.9895999999999999,LH,ns,ns
Cuba,CUB,0.12305617676307766,0.08653633998828364,0.0015622731308035376,-0.04370377897753566,Caribbean,Americas,0.03651983677479402,1,-1,False,0.0018349078212524853,0.6944021880496317,0.0542,0.24800606060606062,HH,ns,ns,0.008295518430762077,0.6755,0.8161248,HH,ns,ns,0.17889926950362509,0.5246,0.9459071428571428,LL,ns,ns,0.12295473011318458,0.7254,0.940678813559322,HH,ns,ns,-0.0007301591899298113,0.9726,0.992314864864865,HL,ns,ns,-0.05741344072749953,0.8355,0.9895999999999999,LH,ns,ns
Dominican Republic,DOM,0.15478420047944152,0.1119738186986087,0.043474369351398756,0.002209023356432041,Caribbean,Americas,0.042810381780832824,1,1,True,0.0025214757631263135,0.9257226484967437,0.024,0.1777681818181818,HH,HH,ns,0.2568335853901857,0.6283,0.7906108333333334,HH,ns,ns,-0.020672265949566008,0.1468,0.6333371428571429,HL,ns,ns,0.8691024493127874,0.0327,0.24159999999999998,HH,HH,ns,0.28848455712759274,0.5873,0.7989396396396398,HH,ns,ns,-0.019307543940255113,0.1754,0.6791128205128205,HL,ns,ns
El Salvador,SLV,0.06948090854064985,0.13629414411606172,-0.029212834281271458,0.010484559325705967,Central America,Americas,-0.06681323557541187,-1,1,False,0.006141601081680497,0.1313683436203503,0.5238,0.9172816091954022,LL,ns,ns,0.5946702980030917,0.0975,0.38743421052631577,LL,ns,ns,-0.014558567560667333,0.8321,0.983250724637681,HL,ns,ns,-0.11760380207467595,0.5622,0.8574969696969698,LH,ns,ns,0.33682127309595383,0.3574,0.6387299999999999,LL,ns,ns,-0.024457348940329082,0.7221,0.9895999999999999,HL,ns,ns
Guatemala,GTM,0.0508136158223582,0.2291546595438383,-0.02208614288477416,0.05950124785489741,Central America,Americas,-0.17834104372148007,-1,1,False,0.04375817534344124,-0.0007802067825296149,0.9989,0.9989,LH,ns,ns,0.4745322956991452,0.0785,0.3203648648648649,LL,ns,ns,-0.20865405359596448,0.5845,0.9806611111111111,HL,ns,ns,-0.0007802067825296149,0.9989,0.9989,LH,ns,ns,0.4745322956991452,0.0785,0.2756627906976744,LL,ns,ns,-0.20865405359596448,0.5845,0.9895999999999999,HL,ns,ns
Haiti,HTI,0.14216341234840274,0.09693400333163772,0.04229678159109136,-0.027157626907959878,Caribbean,Americas,0.04522940901676502,1,-1,False,0.002814481656952456,0.9508275311518283,0.0208,0.1744888888888889,HH,HH,ns,0.2577676184914026,0.6253,0.7906108333333334,HH,ns,ns,0.2196804558752865,0.2066,0.7307697674418605,LL,ns,ns,0.7058295219902486,0.0808,0.3697212121212121,HH,ns,ns,0.11159173498419875,0.8324,0.9242088235294118,HH,ns,ns,0.10832859531392694,0.5378,0.9895999999999999,LL,ns,ns
Honduras,HND,0.08078933014247122,0.15993054339518895,-0.02613988259153116,0.017054598541896226,Central America,Americas,-0.07914121325271772,-1,1,False,0.008617117282088601,-0.1760723918256409,0.5107,0.9172816091954022,LH,ns,ns,0.3141161820464955,0.3308,0.6091560975609757,LL,ns,ns,-0.04462525032594182,0.6855,0.983250724637681,HL,ns,ns,-0.1760723918256409,0.5107,0.8421532608695652,LH,ns,ns,0.3141161820464955,0.3308,0.6322886075949368,LL,ns,ns,-0.04462525032594182,0.6855,0.9895999999999999,HL,ns,ns
Jamaica,JAM,0.12861876139008294,0.11789690899995459,0.008691304721649154,0.02440883971147767,Caribbean,Americas,0.01072185239012835,1,1,True,0.00015815984987980586,0.4571718544151985,0.0425,0.24682692307692308,HH,HH,ns,0.03633386470133318,0.7467,0.8737251908396947,HH,ns,ns,-0.17175971372563664,0.2708,0.7544509090909091,HL,ns,ns,0.4571718544151985,0.0425,0.278444,HH,HH,ns,0.03633386470133318,0.7467,0.88087265625,HH,ns,ns,-0.17175971372563664,0.2708,0.8422102040816326,HL,ns,ns
Mexico,MEX,0.04065719593311795,0.18486208551156053,-0.061457157366937354,-0.01725217305776916,Central America,Americas,-0.14420488957844257,-1,-1,True,0.028609915091999703,0.136042454860811,0.8243,0.9989,LL,ns,ns,0.9795089096028061,0.1829,0.49317678571428575,LL,ns,ns,0.03751532495126873,0.7416,0.983250724637681,LL,ns,ns,0.136042454860811,0.8243,0.9821812030075188,LL,ns,ns,0.9795089096028061,0.1829,0.4681,LL,ns,ns,0.03751532495126873,0.7416,0.9895999999999999,LL,ns,ns
Nicaragua,NIC,0.09228609649696132,0.11305860813337204,-0.014230944779446447,-0.016999411336840797,Central America,Americas,-0.020772511636410723,-1,-1,True,0.0005936556672836956,-0.004020564671103654,0.9328,0.9989,HL,ns,ns,0.1843027067005747,0.3063,0.6091560975609757,LL,ns,ns,0.03741293176934639,0.7335,0.983250724637681,LL,ns,ns,0.00912177612070053,0.8513,0.9821812030075188,HH,ns,ns,0.08955169241257246,0.615,0.8075217391304348,LL,ns,ns,0.010691889247955548,0.9204,0.9895999999999999,LL,ns,ns
Panama,PAN,0.12161241121300685,0.0993326777036423,0.003994310863230474,-0.023846735264780927,Central America,Americas,0.022279733509364547,1,-1,False,0.0006829306117743934,-0.16631782693757302,0.5609,0.9262371134020618,HL,ns,ns,-0.04882471804108935,0.3272,0.6091560975609757,HL,ns,ns,-0.036558170065231384,0.8077,0.983250724637681,LH,ns,ns,-0.16631782693757302,0.5609,0.8574969696969698,HL,ns,ns,-0.04882471804108935,0.3272,0.6322886075949368,HL,ns,ns,-0.036558170065231384,0.8077,0.9895999999999999,LH,ns,ns
United States,USA,0.1695001197237513,0.20674111102367362,0.01407352282870264,-0.006262095148296176,Northern America,Americas,-0.03724099129992231,1,-1,False,0.0019080909062351775,0.0449458191922449,0.275,0.6135485294117647,LL,ns,ns,-0.15781477128102114,0.3648,0.6259636363636364,HL,ns,ns,-0.027967509680926986,0.4854,0.92261,LH,ns,ns,0.0449458191922449,0.275,0.632140909090909,LL,ns,ns,-0.15781477128102114,0.3648,0.6387299999999999,HL,ns,ns,-0.027967509680926986,0.4854,0.9811077922077922,LH,ns,ns
Australia,AUS,0.16302097420962694,0.02452905625126842,0.015901396655627398,-0.07874840590935739,Australia and New Zealand,Oceania,0.13849191795835852,1,-1,False,0.0263879380520388,0.5094735687752766,0.5708,0.9262371134020618,HH,ns,ns,0.010167302545470965,0.9606,0.967004,HH,ns,ns,-0.3847287774067312,0.4471,0.8767805194805195,LH,ns,ns,0.5094735687752766,0.5708,0.861908,HH,ns,ns,0.010167302545470965,0.9606,0.9876632653061224,HH,ns,ns,-0.3847287774067312,0.4471,0.9376680555555557,LH,ns,ns
New Zealand,NZL,0.10027093962176431,0.09792610619792624,-0.046405360922854355,-0.00025979570781251016,Australia and New Zealand,Oceania,0.0023448334238380664,-1,-1,True,7.564506289268985e-06,0.20357826724582978,0.2438,0.6001032258064517,HH,ns,ns,-0.7063356480172653,0.2093,0.5016555555555556,LH,ns,ns,-0.0011428247774902933,0.4888,0.92261,LH,ns,ns,0.23490921820318117,0.1768,0.5492625,HH,ns,ns,-0.44736288621549186,0.4229,0.6793393617021277,LH,ns,ns,-0.0008475365979956281,0.6069,0.9895999999999999,LH,ns,ns
Papua New Guinea,PNG,0.13861753573076713,0.1482067389492464,0.030503964267224917,0.07900820161717667,Melanesia,Oceania,-0.00958920321847928,1,1,True,0.00012650906361565134,0.1698555097667141,0.1269,0.4456255813953489,HH,ns,ns,0.05309277580489484,0.8881,0.9413741258741258,HH,ns,ns,-0.19465475780113375,0.7036,0.983250724637681,HL,ns,ns,0.1698555097667141,0.1269,0.4913307692307693,HH,ns,ns,0.05309277580489484,0.8881,0.9480035211267606,HH,ns,ns,-0.19465475780113375,0.7036,0.9895999999999999,HL,ns,ns
Argentina,ARG,0.10866574248962382,0.08522016812788796,-0.0516264518220399,-0.10579396028142152,South America,Americas,0.02344557436173586,-1,-1,True,0.0007562725704311096,0.023994550647170834,0.9304,0.9989,HH,ns,ns,-0.37878104556355024,0.5554,0.7533821428571429,LH,ns,ns,-0.830471471389234,0.2178,0.7440765957446809,LH,ns,ns,0.040917356064759186,0.8856,0.9955513888888888,HH,ns,ns,-0.24856201071745393,0.7013,0.8680024590163935,LH,ns,ns,-0.40929578682507806,0.5503,0.9895999999999999,LH,ns,ns
Bolivia,BOL,0.10781469285053756,0.24747959829728672,-0.0008364579612583911,0.06431095480066948,South America,Americas,-0.13966490544674914,-1,1,False,0.026836827807446086,-0.6549746315838957,0.2763,0.6135485294117647,LH,ns,ns,0.0027032564275551734,0.8012,0.902844776119403,LL,ns,ns,-0.22392413460551716,0.5777,0.9806611111111111,HL,ns,ns,-0.6549746315838957,0.2763,0.632140909090909,LH,ns,ns,0.0027032564275551734,0.8012,0.9194984848484847,LL,ns,ns,-0.22392413460551716,0.5777,0.9895999999999999,HL,ns,ns
Brazil,BRA,0.16469595530453246,0.15759928656077815,0.07416292598993829,0.029377334651142062,South America,Americas,0.0070966687437543086,1,1,True,6.928921864168587e-05,0.019172769148477424,0.9215,0.9989,HH,ns,ns,-1.1609594268716596,0.1987,0.5012704918032787,HL,ns,ns,-0.002158409622874259,0.9908,0.9908000000000001,HL,ns,ns,0.0406048452448075,0.8399,0.9821812030075188,HH,ns,ns,-0.7839564542507407,0.3751,0.6387299999999999,HL,ns,ns,-0.07521945526419453,0.7025,0.9895999999999999,HL,ns,ns
Chile,CHL,0.0993071522959073,0.11852556535855183,-0.03181730902731249,-0.005980849891079026,South America,Americas,-0.019218413062644532,-1,-1,True,0.0005081496645271975,0.022344722152755882,0.6987,0.9953179245283018,HH,ns,ns,-0.05333718932932942,0.8915,0.9413741258741258,LH,ns,ns,0.0026578671141024596,0.9409,0.9908000000000001,LL,ns,ns,0.022344722152755882,0.6987,0.940678813559322,HH,ns,ns,-0.05333718932932942,0.8915,0.9480035211267606,LH,ns,ns,0.0026578671141024596,0.9409,0.9895999999999999,LL,ns,ns
Colombia,COL,0.13225011394627992,0.13316960528646676,0.00027002599777126157,-0.06353302714301703,South America,Americas,-0.0009194913401868454,1,-1,False,1.163193276041002e-06,0.2876716958099772,0.0727,0.31364857142857144,HH,ns,ns,0.004056392640612364,0.2262,0.5120477611940298,HH,ns,ns,0.13495456055947672,0.7414,0.983250724637681,LL,ns,ns,0.1776093634218961,0.2597,0.632140909090909,HH,ns,ns,0.0015543023479968666,0.6509,0.8213900826446281,HH,ns,ns,0.15447241600808215,0.7086,0.9895999999999999,LL,ns,ns
