Country,iso3,berkeley,era5,b_residual,e_residual,m49_subregion,m49_region,b_minus_e,b_sign,e_sign,sign_agreement,squared_gap_share,station_knn8_b_minus_e_local_i,station_knn8_b_minus_e_p_value,station_knn8_b_minus_e_q_value,station_knn8_b_minus_e_quadrant,station_knn8_b_minus_e_label,station_knn8_b_minus_e_fdr_label,station_knn8_b_residual_local_i,station_knn8_b_residual_p_value,station_knn8_b_residual_q_value,station_knn8_b_residual_quadrant,station_knn8_b_residual_label,station_knn8_b_residual_fdr_label,station_knn8_e_residual_local_i,station_knn8_e_residual_p_value,station_knn8_e_residual_q_value,station_knn8_e_residual_quadrant,station_knn8_e_residual_label,station_knn8_e_residual_fdr_label,area_knn8_b_minus_e_local_i,area_knn8_b_minus_e_p_value,area_knn8_b_minus_e_q_value,area_knn8_b_minus_e_quadrant,area_knn8_b_minus_e_label,area_knn8_b_minus_e_fdr_label,area_knn8_b_residual_local_i,area_knn8_b_residual_p_value,area_knn8_b_residual_q_value,area_knn8_b_residual_quadrant,area_knn8_b_residual_label,area_knn8_b_residual_fdr_label,area_knn8_e_residual_local_i,area_knn8_e_residual_p_value,area_knn8_e_residual_q_value,area_knn8_e_residual_quadrant,area_knn8_e_residual_label,area_knn8_e_residual_fdr_label
Guinea Bissau,GNB,0.23319971534367673,0.2122086209021162,0.03515067931034169,0.017755917949093397,Western Africa,Africa,0.020991094441560526,1,1,True,0.0007836573576083299,0.17488873460458626,0.4194,0.764161797752809,HH,ns,ns,1.1037971319377398,0.0091,0.08588125,HH,HH,ns,0.009004596448077854,0.9394,0.9938000000000001,HH,ns,ns,0.17488873460458626,0.4194,0.8150128205128205,HH,ns,ns,1.1037971319377398,0.0091,0.104945,HH,HH,ns,0.009004596448077854,0.9394,0.9967,HH,ns,ns
Kenya,KEN,0.21062387448612835,0.2607461765932409,0.04047789739491467,0.07321632703772726,Eastern Africa,Africa,-0.05012230210711255,1,1,True,0.004468050468069926,-0.1158946256680961,0.5663,0.7913772727272728,LH,ns,ns,0.37933003477382615,0.4427,0.668477,HH,ns,ns,-0.0770926923766858,0.8777,0.9938000000000001,HL,ns,ns,-0.04530588580233505,0.8205,0.922063829787234,LH,ns,ns,0.4242146508080757,0.3909,0.6486362637362638,HH,ns,ns,-0.11542613692845281,0.8212,0.9967,HL,ns,ns
Lesotho,LSO,0.16129029981211962,0.1472159500694615,-0.01060638396751401,-0.031047150209142865,Southern Africa,Africa,0.014074349742658115,-1,-1,True,0.0003523000688661242,0.36366355848053955,0.0402,0.39881764705882355,HH,HH,ns,0.27416085158316444,0.0358,0.20357037037037037,LL,LL,ns,0.516829844049528,0.014,0.23556,LL,LL,ns,0.36366355848053955,0.0402,0.5009260869565219,HH,HH,ns,0.27416085158316444,0.0358,0.18640689655172415,LL,LL,ns,0.516829844049528,0.014,0.2850125,LL,LL,ns
Liberia,LBR,0.2160061033815747,0.1372370978996987,0.01466992832401634,-0.07133453060700862,Western Africa,Africa,0.07876900548187599,1,-1,False,0.011034858655883368,0.2875553844355326,0.5923,0.7921486725663717,HH,ns,ns,0.4206296030167574,0.0199,0.13658636363636364,HH,HH,ns,-0.21565193276861272,0.6646,0.9822330097087378,LH,ns,ns,0.3950277820976557,0.4652,0.8463277108433734,HH,ns,ns,0.34387644591339356,0.0571,0.2330297297297297,HH,ns,ns,0.022120645324113262,0.9639,0.9967,LL,ns,ns
Libya,LBY,0.19059948923507644,0.2877246864240973,-0.04607576366590263,0.02436529776313784,Northern Africa,Africa,-0.09712519718902088,-1,1,False,0.016777215282825404,-0.06592399567052332,0.8905,0.9273482758620689,LH,ns,ns,-0.2399813260401421,0.6756,0.8161248,LH,ns,ns,-0.07148959552201159,0.67,0.9822330097087378,HL,ns,ns,0.7130538154462158,0.1312,0.6094205128205129,LL,ns,ns,0.5931754083912008,0.3005,0.6131824324324324,LL,ns,ns,0.06716772466207256,0.6898,0.9967,HH,ns,ns
Madagascar,MDG,0.1813544794012833,0.1927833990615929,-8.905938348996445e-05,0.047785257418197086,Eastern Africa,Africa,-0.011428919660309594,-1,1,False,0.00023230920040145036,0.05831079053120163,0.0309,0.39881764705882355,HH,HH,ns,0.0015097404577385225,0.1688,0.48676909090909093,LL,ns,ns,-0.6658964434999747,0.0429,0.3810529411764706,HL,HL,ns,0.04640065900229592,0.0816,0.5134,HH,ns,ns,5.69279176523458e-07,0.9998,0.9997999999999999,LL,ns,ns,-0.28347457587329256,0.3883,0.9290473684210527,HL,ns,ns
Malawi,MWI,0.18854099012577252,0.1341335717784611,8.741154819832953e-05,-0.039021422192781985,Eastern Africa,Africa,0.054407418347311415,1,-1,False,0.0052646837500900465,0.6491308418444179,0.109,0.49875757575757573,HH,ns,ns,-0.0009265230469527439,0.3841,0.626731182795699,HL,ns,ns,0.21680910087628247,0.4246,0.8614456790123457,LL,ns,ns,0.5373229844734914,0.1906,0.6630272727272727,HH,ns,ns,-0.0003611611464938615,0.738,0.88087265625,HL,ns,ns,0.06982817890468478,0.7988,0.9967,LL,ns,ns
Mali,MLI,0.24782669503123966,0.318525828845405,0.021043389925692796,0.08508745245603419,Western Africa,Africa,-0.07069913381416532,1,1,True,0.0088896412764409,-0.45855682213003357,0.1486,0.575348717948718,LH,ns,ns,0.4126348167473017,0.112,0.41525,HH,ns,ns,-0.4336190518487266,0.4507,0.8614456790123457,HL,ns,ns,0.1752396571714337,0.5823,0.8667682242990653,LL,ns,ns,0.5012563604155402,0.0488,0.22329696969696972,HH,HH,ns,0.6072619039051437,0.2991,0.9080326923076922,HH,ns,ns
Mauritania,MRT,0.2597916027159455,0.2923419403468353,0.05149929222154939,0.042096915567514104,Western Africa,Africa,-0.032550337630889825,1,1,True,0.0018843737496673306,-0.11002657005375678,0.2528,0.6651677966101696,LH,ns,ns,1.4837893512047877,0.0181,0.13658636363636364,HH,HH,ns,-0.028831578126251544,0.9188,0.9938000000000001,HL,ns,ns,-0.03259773657804786,0.7278,0.922063829787234,LH,ns,ns,1.6951034318541471,0.0072,0.104945,HH,HH,ns,0.21106111668646813,0.4626,0.9290473684210527,HH,ns,ns
Morocco,MAR,0.2418455862979349,0.2929886475334236,0.0405701157262153,0.0450304622154388,Northern Africa,Africa,-0.051143061235488674,1,1,True,0.004651890568244453,0.17914967091861173,0.3779,0.764161797752809,LL,ns,ns,0.9304024370813695,0.0654,0.29045294117647064,HH,ns,ns,0.4959559222516353,0.1023,0.5326655172413793,HH,ns,ns,0.2078006708044523,0.3046,0.7272486486486487,LL,ns,ns,1.0420515947572282,0.0383,0.19277666666666668,HH,HH,ns,0.570502553368686,0.0605,0.43502380952380953,HH,ns,ns
Mozambique,MOZ,0.172823801894673,0.1108354161002468,-0.012962522057942794,-0.04471781709206288,Eastern Africa,Africa,0.0619883857944262,-1,-1,True,0.00683402722906525,0.7987808301650937,0.0839,0.46921851851851853,HH,ns,ns,0.2989578445625755,0.0601,0.27637575757575755,LL,ns,ns,0.5440706073752725,0.078,0.453,LL,ns,ns,0.7285732888089834,0.1124,0.6061571428571428,HH,ns,ns,0.17214088234753885,0.2844,0.5970791666666666,LL,ns,ns,0.34862628615191443,0.2599,0.8349978723404256,LL,ns,ns
Namibia,NAM,0.17785319196923344,0.1860337789309331,-0.015314826586640184,-0.03002276764205475,Southern Africa,Africa,-0.008180586961699654,-1,-1,True,0.00011902138005676855,0.09407024671643317,0.042,0.39881764705882355,HH,HH,ns,0.26893684203176194,0.1522,0.4785775510204081,LL,ns,ns,0.436482883252966,0.0322,0.30577499999999996,LL,LL,ns,0.09407024671643317,0.042,0.5009260869565219,HH,HH,ns,0.26893684203176194,0.1522,0.42559629629629625,LL,ns,ns,0.436482883252966,0.0322,0.320875,LL,LL,ns
Niger,NER,0.2385606960588716,0.3340678680482721,0.002957379184760106,0.053882122248679165,Western Africa,Africa,-0.09550717198940051,1,1,True,0.01622288245622463,0.36935285323372513,0.4268,0.764161797752809,LL,ns,ns,-0.03065222908046113,0.3999,0.6356305263157894,HL,ns,ns,0.1114951392485392,0.7629,0.9938000000000001,HH,ns,ns,0.6519157265970933,0.1574,0.6094205128205129,LL,ns,ns,-0.001879418388431813,0.9615,0.9876632653061224,HL,ns,ns,0.5008154421586998,0.1811,0.7011820512820514,HH,ns,ns
Nigeria,NGA,0.2030109401107239,0.1976777415209111,0.00783900302879681,-0.0339753459073909,Western Africa,Africa,0.005333198589812793,1,-1,False,5.0586142315512836e-05,-0.14730511348201403,0.2344,0.6511874999999999,HL,ns,ns,-0.08518147952336216,0.3807,0.626731182795699,HL,ns,ns,-0.1758280168438013,0.4489,0.8614456790123457,LH,ns,ns,-0.14730511348201403,0.2344,0.6630272727272727,HL,ns,ns,-0.08518147952336216,0.3807,0.6387299999999999,HL,ns,ns,-0.1758280168438013,0.4489,0.9290473684210527,LH,ns,ns
Rwanda,RWA,0.20845952779692498,0.1928771974182167,0.011368703516902084,0.01056147528290044,Eastern Africa,Africa,0.015582330378708265,1,1,True,0.0004318380105563625,0.16330996662504826,0.3674,0.764161797752809,HH,ns,ns,0.07883303603911089,0.5692,0.753940350877193,HH,ns,ns,0.006541825272856208,0.929,0.9938000000000001,HH,ns,ns,0.16330996662504826,0.3674,0.7396986666666667,HH,ns,ns,0.07883303603911089,0.5692,0.7885247706422018,HH,ns,ns,0.006541825272856208,0.929,0.9967,HH,ns,ns
Senegal,SEN,0.24097868636270878,0.2792214257610943,0.03885892550881537,0.026396786039129427,Western Africa,Africa,-0.038242739398385545,1,1,True,0.0026010819681079487,-0.1524749217634279,0.2345,0.6511874999999999,LH,ns,ns,1.1974141762635302,0.0112,0.09948235294117647,HH,HH,ns,0.0022166671632528846,0.9896,0.9938000000000001,HH,ns,ns,-0.1524749217634279,0.2345,0.6630272727272727,LH,ns,ns,1.1974141762635302,0.0112,0.104945,HH,HH,ns,0.0022166671632528846,0.9896,0.9967,HH,ns,ns
Sierra Leone,SLE,0.22372060994282955,0.1282817622163181,0.02474539184123309,-0.08293120481584271,Western Africa,Africa,0.09543884772651146,1,-1,False,0.016199679591116196,0.22751341084142018,0.7286,0.8616364341085271,HH,ns,ns,0.8178434098031911,0.0069,0.08305,HH,HH,ns,-0.45097515096341323,0.4327,0.8614456790123457,LH,ns,ns,0.42443962084888825,0.5118,0.8586866666666667,HH,ns,ns,0.7894198145097319,0.0083,0.104945,HH,HH,ns,-0.12321081918490433,0.8282,0.9967,LH,ns,ns
Somalia,SOM,0.19588332023430152,0.1571613725894879,0.0018855441208645296,-0.09885710163062242,Eastern Africa,Africa,0.038721947644813626,1,-1,False,0.002666677134950812,-0.8217448231396002,0.0132,0.3322,HL,HL,ns,0.020598975101196945,0.3797,0.626731182795699,HH,ns,ns,-1.2140016407973284,0.0644,0.42279999999999995,LH,ns,ns,-0.6479479805427301,0.0435,0.5009260869565219,HL,HL,ns,0.03931834811941652,0.0931,0.3150866666666666,HH,ns,ns,-1.154127685385657,0.0787,0.4576461538461538,LH,ns,ns
South Africa,ZAF,0.16028496312204338,0.12635310153464,-0.020912148906582106,-0.06390338737671264,Southern Africa,Africa,0.033931861587403384,-1,-1,True,0.0020477240163929706,0.5678669320948951,0.0544,0.4228,HH,ns,ns,0.5064079861112342,0.0555,0.27033870967741935,LL,ns,ns,0.9609528421405054,0.0278,0.30577499999999996,LL,LL,ns,0.5678669320948951,0.0544,0.5009260869565219,HH,ns,ns,0.5064079861112342,0.0555,0.23279166666666665,LL,ns,ns,0.9609528421405054,0.0278,0.320875,LL,LL,ns
Sudan,SDN,0.20487305719629992,0.2962250233316799,-0.037761110524674985,0.007113003001999019,Northern Africa,Africa,-0.09135196613537996,-1,1,False,0.014841980210829022,1.3416480989346504,0.0034,0.12835,LL,LL,ns,-0.36230557065989094,0.4334,0.6627222222222222,LH,ns,ns,0.09229959833740871,0.0592,0.42279999999999995,HH,ns,ns,0.9378195726081741,0.0313,0.5009260869565219,LL,LL,ns,1.1568464720175546,0.0149,0.10713809523809523,LL,LL,ns,-0.010666389736960396,0.8292,0.9967,HL,ns,ns
Swaziland,SWZ,0.15934183499515397,0.0997263042839373,-0.0294569791919366,-0.06635395496523322,Southern Africa,Africa,0.05961553071121667,-1,-1,True,0.0063208411957355595,0.7898120243900225,0.0714,0.44922500000000004,HH,ns,ns,0.6734529485708406,0.0604,0.27637575757575755,LL,ns,ns,0.9898404474024284,0.0257,0.30577499999999996,LL,LL,ns,0.7898120243900225,0.0714,0.5009260869565219,HH,ns,ns,0.6734529485708406,0.0604,0.2350179487179487,LL,ns,ns,0.9898404474024284,0.0257,0.320875,LL,LL,ns
Tanzania,TZA,0.20953051997740807,0.2005613709860363,0.04084163412122149,0.025344523991147977,Eastern Africa,Africa,0.008969148991371773,1,1,True,0.00014307327783791177,0.11503479672163616,0.4222,0.764161797752809,HH,ns,ns,0.35243146842300505,0.4807,0.6979394230769231,HH,ns,ns,-0.006480340992921075,0.9703,0.9938000000000001,HL,ns,ns,0.13599639276534858,0.3427,0.7272486486486487,HH,ns,ns,0.25635937042752327,0.6146,0.8075217391304348,HH,ns,ns,0.06071529221360027,0.7293,0.9967,HH,ns,ns
Togo,TGO,0.1941324419699687,0.2333839668205056,-0.01198169831242235,0.017023438200616636,Western Africa,Africa,-0.0392515248505369,-1,1,False,0.0027401170574200585,0.1742815570335146,0.2035,0.6511874999999999,LL,ns,ns,-0.08688635234285735,0.5588,0.7533821428571429,LH,ns,ns,0.16109809609014905,0.173,0.653075,HH,ns,ns,0.028305277357253418,0.8338,0.922063829787234,LL,ns,ns,-0.10911914798515912,0.4597,0.694147,LH,ns,ns,0.05670932889380837,0.6279,0.9967,HH,ns,ns
Tunisia,TUN,0.23748975158588337,0.3633603979742043,0.0031171366549856694,0.09041024868447473,Northern Africa,Africa,-0.1258706463883209,1,1,True,0.028177663289390406,0.10046124939556728,0.8753,0.9242678321678321,LL,ns,ns,0.019465708844488755,0.6169,0.7906108333333334,HH,ns,ns,0.15992491231943298,0.7893,0.9938000000000001,HH,ns,ns,-0.0581433216964634,0.927,0.9457905405405406,LH,ns,ns,0.005602289523841682,0.8818,0.9480035211267606,HH,ns,ns,-0.27378695173989187,0.6596,0.9967,HL,ns,ns
