Country,iso3,m49_subregion,observed,cv_prediction,cv_error,n_train,nearest_train_km,unseen_levels
Iceland,ISL,Northern Europe,0.127368,0.213627,-0.0862593,150,789.4,1
Ireland,IRL,Northern Europe,0.167862,0.188344,-0.020482,148,693,0
Italy,ITA,Southern Europe,0.182329,0.17181,0.0105189,130,514.7,0
Latvia,LVA,Northern Europe,0.246616,0.195854,0.0507623,143,550.3,0
Lithuania,LTU,Northern Europe,0.221622,0.198919,0.022703,143,521.9,0
Macedonia,MKD,Southern Europe,0.16411,0.1745,-0.0103896,140,556,0
Moldova,MDA,Eastern Europe,0.155449,0.194673,-0.0392239,143,561.7,0
Montenegro,MNE,Southern Europe,0.164367,0.169847,-0.00548057,139,546.2,0
Netherlands,NLD,Western Europe,0.188775,0.149667,0.0391085,144,532.8,0
Norway,NOR,Northern Europe,0.20192,0.207882,-0.00596239,144,621.4,0
Poland,POL,Eastern Europe,0.184036,0.212178,-0.0281424,132,533.4,0
Portugal,PRT,Southern Europe,0.184682,0.160156,0.0245258,147,696.5,0
Romania,ROU,Eastern Europe,0.162649,0.226456,-0.0638067,132,604.6,0
Russia,RUS,Eastern Europe,0.262173,0.225037,0.037136,128,520.5,0
Serbia,SRB,Southern Europe,0.177783,0.196668,-0.0188851,133,563.9,0
Slovakia,SVK,Eastern Europe,0.171359,0.230136,-0.0587771,136,561.3,0
Slovenia,SVN,Southern Europe,0.210409,0.198962,0.0114477,136,570.7,0
Spain,ESP,Southern Europe,0.191187,0.163828,0.0273587,146,514.7,0
Sweden,SWE,Northern Europe,0.219247,0.199031,0.0202157,141,538.6,0
Switzerland,CHE,Western Europe,0.202551,0.196412,0.00613947,141,535.6,0
Ukraine,UKR,Eastern Europe,0.177679,0.216758,-0.0390793,136,515.6,0
United Kingdom,GBR,Northern Europe,0.163094,0.173738,-0.0106444,144,565.8,0
Bahamas,BHS,Caribbean,0.139911,0.136731,0.00317996,146,638.2,0
Canada,CAN,Northern America,0.252193,0.165847,0.0863456,149,1317.8,0
Costa Rica,CRI,Central America,0.101305,0.131819,-0.0305139,146,621.5,0
Cuba,CUB,Caribbean,0.123056,0.111136,0.0119197,144,699.7,0
Dominican Republic,DOM,Caribbean,0.154784,0.0980774,0.0567068,147,636.3,0
El Salvador,SLV,Central America,0.0694809,0.127627,-0.0581462,145,790.6,0
Guatemala,GTM,Central America,0.0508136,0.109521,-0.0587073,146,621.5,0
Haiti,HTI,Caribbean,0.142163,0.0828835,0.0592799,146,778.4,0
Honduras,HND,Central America,0.0807893,0.134201,-0.0534114,145,644.6,0
Jamaica,JAM,Caribbean,0.128619,0.113063,0.0155554,148,636.3,0
Mexico,MEX,Central America,0.0406572,0.134316,-0.0936585,145,547.8,0
Nicaragua,NIC,Central America,0.0922861,0.122658,-0.0303719,145,547.8,0
Panama,PAN,Central America,0.121612,0.12149,0.000122568,147,644.6,0
United States,USA,Northern America,0.1695,0.143259,0.0262409,145,882,0
Australia,AUS,Australia and New Zealand,0.163021,0.0985233,0.0644976,148,1352.6,0
New Zealand,NZL,Australia and New Zealand,0.100271,0.172625,-0.0723543,150,1552,0
Papua New Guinea,PNG,Melanesia,0.138618,0.0534663,0.0851512,148,2039.4,0
Argentina,ARG,South America,0.108666,0.173952,-0.0652863,145,695.4,0
