iso3,n_cells_1deg,n_cells_fit,cell_mean,cell_sd,cell_p10,cell_p90,cell_min,cell_max,cell_range
SLV,2,2,0.069480909,0.0027294964,0.066751412,0.072210405,0.066751412,0.072210405,0.0054589928
SOM,54,54,0.19588332,0.0048664209,0.18876069,0.20214521,0.18721637,0.2052654,0.018049027
SRB,8,8,0.17778289,0.0046201556,0.17252076,0.18587908,0.17252076,0.18587908,0.013358321
SSD,49,49,0.21590775,0.0057412696,0.20687793,0.22339452,0.20428616,0.22542777,0.021141617
SUR,13,13,0.14991778,0.0030357322,0.14664512,0.15430583,0.14640229,0.15668133,0.010279042
SVK,5,5,0.17135924,0.0083300719,0.16216254,0.1850908,0.16216254,0.1850908,0.022928258
SVN,3,3,0.21040928,0.00099611905,0.20905008,0.21143289,0.20905008,0.21143289,0.0023828102
SWE,90,89,0.21924684,0.01138083,0.20037342,0.23263701,0.1956072,0.23844589,0.042838691
SWZ,1,1,0.15934183,0,0.15934183,0.15934183,0.15934183,0.15934183,0
SYR,21,21,0.14323535,0.0096031838,0.13109495,0.15558531,0.125247,0.16630661,0.04105961
TCA,2,1,0.15118304,0,0.15118304,0.15118304,0.15118304,0.15118304,0
TCD,107,107,0.20350914,0.0092058551,0.18921899,0.21347275,0.17191733,0.22253853,0.050621201
TGO,7,7,0.19413244,0.0035956929,0.19099014,0.20194851,0.19099014,0.20194851,0.01095837
THA,48,46,0.11983102,0.0099959566,0.11177867,0.14131561,0.10958983,0.14468939,0.035099553
TJK,15,15,0.2339755,0.013117061,0.21151086,0.25354125,0.21137385,0.25870215,0.0473283
TKM,52,51,0.27528704,0.014355346,0.25573196,0.28959425,0.23428012,0.29151841,0.057238285
TLS,2,2,0.11498125,0.00086479015,0.11411646,0.11584604,0.11411646,0.11584604,0.0017295803
TTO,1,1,0.15401709,0,0.15401709,0.15401709,0.15401709,0.15401709,0
TUN,17,17,0.23748975,0.0089299392,0.22350206,0.24785508,0.22156456,0.24808779,0.026523225
TUR,86,86,0.14196233,0.014659824,0.12760292,0.16803845,0.12323571,0.18332576,0.060090048
TWN,8,6,0.13706412,0.0024682649,0.13396481,0.14044791,0.13396481,0.14044791,0.006483096
TZA,80,79,0.20953052,0.008266988,0.19596001,0.21803722,0.18451974,0.2210179,0.03649816
UGA,19,17,0.21147595,0.002335979,0.20830036,0.21545073,0.20818112,0.21555105,0.0073699302
UKR,76,76,0.17767866,0.021462585,0.15502672,0.21264679,0.15031781,0.2270733,0.07675549
URY,17,17,0.13406044,0.0060831847,0.12618093,0.142946,0.12209107,0.1443275,0.022236426
USA,1192,1182,0.16950012,0.045475012,0.12408859,0.2378833,0.058382474,0.29361745,0.23523497
UZB,48,47,0.27739224,0.015843329,0.25131109,0.29384435,0.24040983,0.29710995,0.056700117
VEN,82,82,0.14209795,0.0034921647,0.13794945,0.14675325,0.13560865,0.15218964,0.016580986
VNM,36,35,0.12263258,0.0059870272,0.11467542,0.13006324,0.10776286,0.13865869,0.030895834
VUT,8,4,0.14180562,0.0046948975,0.13422251,0.14577848,0.13422251,0.14577848,0.011555963
WSM,1,1,0.15378904,0,0.15378904,0.15378904,0.15378904,0.15378904,0
YEM,45,45,0.20150003,0.0057133258,0.19448458,0.20952763,0.18798897,0.21206839,0.024079414
ZAF,114,114,0.16028496,0.010324116,0.14332039,0.17266825,0.13839157,0.18418668,0.045795106
ZMB,63,63,0.17691284,0.01738774,0.15363827,0.20318117,0.14837472,0.20920206,0.060827346
ZWE,34,34,0.15355029,0.0061337045,0.1472091,0.16294126,0.14209969,0.16701712,0.024917433
