Country,iso3,m49_subregion,observed,cv_prediction,cv_error,n_train,nearest_train_lower_km,unseen_levels
Cyprus,CYP,Western Asia,0.14075176149640625,0.16016635696938442,-0.019414595472978163,141,701.1073430807862,0
Czech Republic,CZE,Eastern Europe,0.19293606527047014,0.22136393373805863,-0.02842786846758849,130,554.6138800350556,0
Denmark,DNK,Northern Europe,0.1919403849228464,0.18091772743482848,0.011022657488017923,138,523.4292153680008,0
Estonia,EST,Northern Europe,0.25938076329685683,0.20236097974960515,0.05701978354725168,142,525.0751955757905,0
Finland,FIN,Northern Europe,0.2349856997144576,0.1979902137370014,0.036995485977456194,143,541.07029162924,0
France,FRA,Western Europe,0.1916777527720347,0.1751464266410786,0.016531326130956092,135,516.557346163752,0
Germany,DEU,Western Europe,0.19552600658812053,0.17670902700035399,0.01881697958776654,129,540.6326509284623,0
Greece,GRC,Southern Europe,0.14163851313814882,0.17131841978784826,-0.02967990664969944,135,544.4786407610321,0
Hungary,HUN,Eastern Europe,0.18683465599109378,0.23637762470465268,-0.0495429687135589,131,544.4786407610321,0
Iceland,ISL,Northern Europe,0.12736783367802937,0.21362715988201708,-0.08625932620398771,150,683.9995161569707,1
Ireland,IRL,Northern Europe,0.1678618971108085,0.18834391911475568,-0.020482022003947165,148,575.2113851156029,0
Italy,ITA,Southern Europe,0.1823289325414157,0.16715661544458824,0.015172317096827453,127,500.6829492326859,0
Latvia,LVA,Northern Europe,0.2466163184774826,0.19581490543103805,0.05080141304644456,140,561.438700953788,0
Lithuania,LTU,Northern Europe,0.22162226701877433,0.19585592058019052,0.025766346438583804,140,506.53074534544373,0
Macedonia,MKD,Southern Europe,0.16410994630244113,0.17575141532748256,-0.011641469025041429,139,550.1872309204372,0
Moldova,MDA,Eastern Europe,0.15544942684686172,0.19639061955912626,-0.04094119271226454,139,568.1431789453329,0
Montenegro,MNE,Southern Europe,0.1643666862725019,0.1726529355216761,-0.008286249249174205,137,506.9514190084059,0
Netherlands,NLD,Western Europe,0.18877545734026732,0.1513475866824214,0.03742787065784592,138,606.5995382433201,0
Norway,NOR,Northern Europe,0.20191951273050374,0.20726471017258855,-0.005345197442084809,143,525.0751955757905,0
Poland,POL,Eastern Europe,0.18403612522932167,0.2086479091710795,-0.024611783941757837,129,516.1513126517902,0
Portugal,PRT,Southern Europe,0.1846817946752158,0.16015597780110452,0.02452581687411129,147,502.80410892048315,0
Romania,ROU,Eastern Europe,0.1626491375716469,0.22645584055005152,-0.06380670297840463,132,500.6829492326859,0
Russia,RUS,Eastern Europe,0.262173281711931,0.23041417864895225,0.031759103062978744,124,510.89421444985624,0
Serbia,SRB,Southern Europe,0.1777828851474587,0.20442347620757745,-0.026640591060118735,131,620.6316199825837,0
Slovakia,SVK,Eastern Europe,0.17135924127324334,0.23757031566931686,-0.06621107439607352,133,506.53074534544373,0
Slovenia,SVN,Southern Europe,0.2104092831778439,0.1999938759251259,0.010415407252718,134,523.0003061461504,0
Spain,ESP,Southern Europe,0.19118695961871326,0.16249624369153431,0.02869071592717895,142,632.7715866249459,0
Sweden,SWE,Northern Europe,0.21924683880167534,0.19851480935480859,0.02073202944686675,138,629.3631220012767,0
Switzerland,CHE,Western Europe,0.20255138935875544,0.19973187051641156,0.002819518842343882,137,526.9858117933452,0
Ukraine,UKR,Eastern Europe,0.17767865721146503,0.21628757784750988,-0.03860892063604485,130,550.1872309204372,0
United Kingdom,GBR,Northern Europe,0.16309409461298247,0.1732447823950744,-0.010150687782091938,143,550.8784160473896,0
Bahamas,BHS,Caribbean,0.13991083211606994,0.13276138919579497,0.007149442920274973,145,649.753202684238,0
Canada,CAN,Northern America,0.2521930060529909,0.16584743754339282,0.08634556850959807,149,1211.70507087315,0
Costa Rica,CRI,Central America,0.10130466192673268,0.13183365111641202,-0.030528989189679334,145,522.0485865536078,0
Cuba,CUB,Caribbean,0.12305617676307766,0.1146108591640868,0.008445317598990865,142,626.2791298879949,0
Dominican Republic,DOM,Caribbean,0.15478420047944152,0.09319231787766848,0.06159188260177305,146,513.5751905242428,0
El Salvador,SLV,Central America,0.06948090854064985,0.12762706105664304,-0.058146152515993185,145,621.3832720483516,0
Guatemala,GTM,Central America,0.0508136158223582,0.10952093820024092,-0.05870732237788272,146,522.0485865536078,0
Haiti,HTI,Caribbean,0.14216341234840274,0.08283511795503326,0.05932829439336948,145,605.476460412235,0
Honduras,HND,Central America,0.08078933014247122,0.13953988892110641,-0.05875055877863519,142,543.6258175805675,0
Jamaica,JAM,Caribbean,0.12861876139008294,0.10361118635721905,0.025007575032863882,144,502.6764474773437,0
Mexico,MEX,Central America,0.04065719593311795,0.1400128360974294,-0.09935564016431145,144,649.753202684238,0
Nicaragua,NIC,Central America,0.09228609649696132,0.1351455431253805,-0.04285944662841917,143,502.6764474773437,0
Panama,PAN,Central America,0.12161241121300685,0.12156035602847737,5.205518452948421e-05,146,543.6258175805675,0
United States,USA,Northern America,0.1695001197237513,0.1432592585165764,0.02624086120717492,145,693.3867407223388,0
Australia,AUS,Australia and New Zealand,0.16302097420962694,0.09852332523473635,0.06449764897489059,148,573.2862742563728,0
New Zealand,NZL,Australia and New Zealand,0.10027093962176431,0.17262521739855252,-0.07235427777678821,150,573.2862742563728,0
Papua New Guinea,PNG,Melanesia,0.13861753573076713,0.05346630747966803,0.0851512282510991,148,1885.2356988228598,0
Argentina,ARG,South America,0.10866574248962382,0.17395208184274863,-0.0652863393531248,145,531.5088271370684,0
Bolivia,BOL,South America,0.10781469285053756,0.11771807123850933,-0.00990337838797177,145,726.5460124230909,0
Brazil,BRA,South America,0.16469595530453246,0.04996140426493649,0.11473455103959597,141,706.9167400925614,0
Chile,CHL,South America,0.0993071522959073,0.15904743551291864,-0.059740283217011345,146,706.9167400925614,0
Colombia,COL,South America,0.13225011394627992,0.11581594222742145,0.01643417171885847,139,513.5751905242428,0
Ecuador,ECU,South America,0.12529387656573873,0.08646846417555833,0.038825412390180405,147,591.9986379136827,0
Paraguay,PRY,South America,0.12268222549728672,0.1619821938841891,-0.03929996838690239,145,807.4705432316664,0
Peru,PER,South America,0.10234701745272959,0.10302024992884297,-0.0006732324761133807,145,531.5088271370684,0
Suriname,SUR,South America,0.14991778270906336,0.12046633096076613,0.029451451748297233,148,1011.1920654792765,0
Uruguay,URY,South America,0.1340604374132053,0.1311814031719027,0.0028790342413026193,147,1000.6055544230104,0
Venezuela,VEN,South America,0.14209795456206648,0.11841956725639252,0.023678387305673954,146,519.4213053467744,0
