iso3,n_cells_15min,land_area_km2,centroid_lon,centroid_lat,abs_centroid_lat,lat_min,lat_max,lat_sd_area_weighted,coastal_cell_fraction,elev_mean_m,elev_sd_m,elev_p10_m,elev_p90_m,elev_max_m,elev_below_sea_fraction,koppen_classified_fraction,koppen_share_A,koppen_share_B,koppen_share_C,koppen_share_D,koppen_share_E,koppen_area_dominant,koppen_area_dominant_share
PER,1766,1.34293e+06,-74.4933,-9.19739,9.19739,-18.375,-0.125,4.4465,0.0450442,1472.82,1630.07,112.895,4248.89,5455.32,0.0429722,0.996634,0.550831,0.169177,0.0757619,0,0.20423,A,0.550831
PHL,816,616988,122.526,11.3068,11.3068,4.625,21.125,3.65211,0.403465,310.467,372.108,12.5103,832.313,2375.96,0.508306,0.867475,1,0,0,0,0,A,1
PLW,12,9203.06,134.06,6.97796,6.97796,4.375,8.125,1.02941,1,34.1605,26.5709,6.40562,69.6175,85.4312,0.916667,0.249678,1,0,0,0,0,A,1
PNG,946,725880,146.729,-6.37706,6.37706,-11.625,-0.875,2.40929,0.349891,581.415,776.721,10.3915,1821.93,3865.66,0.346253,0.83398,0.939107,0,0.0608927,0,0,A,0.939107
POL,670,317256,19.3659,52.1811,52.1811,49.125,54.875,1.39704,0.0297079,173.685,132.027,67.2632,287.25,1420.12,0.025539,0.994368,0,0,0,1,0,D,1
PRI,26,19087.6,-66.471,18.1931,18.1931,17.875,18.625,0.225284,0.730774,231.581,227.452,8.95927,613.161,1123.23,0.538462,0.80773,1,0,0,0,0,A,1
PRK,254,150180,127.156,40.0526,40.0526,37.625,42.875,1.26634,0.126539,575.903,505.525,32.925,1376.28,2209.82,0.16273,0.964265,0,0,0,1,0,D,1
PRT,211,126676,-11.2354,39.0949,39.0949,30.125,41.875,2.2804,0.319329,320.893,263.934,54.9234,736.748,1623.01,0.277514,0.911092,0,0,1,0,0,C,1
PRY,564,400211,-58.43,-23.22,23.22,-27.375,-19.375,2.09385,0,160.748,82.3171,75.7999,275.585,693.153,0,1,0.418443,0.317509,0.264048,0,0,A,0.418443
PSE,10,6560.5,35.1493,31.8992,31.8992,31.375,32.375,0.324946,0.100299,450.138,239.834,142.511,765.072,934.203,0.155556,0.899701,0,0.111779,0.888221,0,0,C,0.888221
