variant,fit,fold,column,coefficient
M0_legacy_representation,primary_training,7,hemisphere=S,-0.032821534782740386
M0_legacy_representation,primary_training,7,spatial_block=Asia,-0.05833751082580747
M0_legacy_representation,primary_training,7,spatial_block=Europe,-0.06495792617464058
M0_legacy_representation,primary_training,7,spatial_block=North America,-0.0987420624994737
M0_legacy_representation,primary_training,7,spatial_block=Oceania,-0.057406916942061764
M0_legacy_representation,primary_training,7,spatial_block=South America,-0.06705123254177654
M0_legacy_representation,primary_training,7,income_group=Low-income countries,0.004259104954319169
M0_legacy_representation,primary_training,7,income_group=Lower-middle-income countries,-0.01160022717122573
M0_legacy_representation,primary_training,7,income_group=Upper-middle-income countries,-0.014668522604766763
M0_legacy_representation,primary_training,8,intercept,0.014380015453726596
M0_legacy_representation,primary_training,8,cum_co2_per_capita,0.03884198005817799
M0_legacy_representation,primary_training,8,cum_co2_total,-0.021470479128424803
M0_legacy_representation,primary_training,8,abs_latitude,0.000982440972861082
M0_legacy_representation,primary_training,8,elevation,-3.3967543049051518e-06
M0_legacy_representation,primary_training,8,continentality,4.8280595401247516e-05
M0_legacy_representation,primary_training,8,population,0.02596763353575534
M0_legacy_representation,primary_training,8,station_density,-0.0014889754970406368
M0_legacy_representation,primary_training,8,climate_zone=B,0.012953533314942976
M0_legacy_representation,primary_training,8,climate_zone=C,-0.022474865754251214
M0_legacy_representation,primary_training,8,climate_zone=D,-0.0038230130346213146
M0_legacy_representation,primary_training,8,climate_zone=E,-0.08519777299753838
M0_legacy_representation,primary_training,8,hemisphere=S,-0.03293731913382795
M0_legacy_representation,primary_training,8,spatial_block=Asia,-0.0630499877878068
M0_legacy_representation,primary_training,8,spatial_block=Europe,-0.0680723822477998
M0_legacy_representation,primary_training,8,spatial_block=North America,-0.09708281799241882
M0_legacy_representation,primary_training,8,spatial_block=Oceania,-0.05631207532025148
M0_legacy_representation,primary_training,8,spatial_block=South America,-0.06496331558763949
M0_legacy_representation,primary_training,8,income_group=Low-income countries,0.006264894470852672
M0_legacy_representation,primary_training,8,income_group=Lower-middle-income countries,-0.007001985797440012
M0_legacy_representation,primary_training,8,income_group=Upper-middle-income countries,-0.014232376994222803
M0_legacy_representation,primary_training,9,intercept,0.016369859018469265
M0_legacy_representation,primary_training,9,cum_co2_per_capita,0.043723348822182276
M0_legacy_representation,primary_training,9,cum_co2_total,-0.02709428507832748
M0_legacy_representation,primary_training,9,abs_latitude,0.0009852493346990557
M0_legacy_representation,primary_training,9,elevation,-9.783628909395098e-07
M0_legacy_representation,primary_training,9,continentality,4.88173951322216e-05
M0_legacy_representation,primary_training,9,population,0.027401520210308627
M0_legacy_representation,primary_training,9,station_density,-0.0015175820243373886
M0_legacy_representation,primary_training,9,climate_zone=B,8.714988963777381e-05
M0_legacy_representation,primary_training,9,climate_zone=C,-0.02750972940397167
M0_legacy_representation,primary_training,9,climate_zone=D,-0.012332131951681848
M0_legacy_representation,primary_training,9,climate_zone=E,-0.09853026638430666
M0_legacy_representation,primary_training,9,hemisphere=S,-0.03349122714264715
M0_legacy_representation,primary_training,9,spatial_block=Asia,-0.05727214999978334
M0_legacy_representation,primary_training,9,spatial_block=Europe,-0.0660862436861975
M0_legacy_representation,primary_training,9,spatial_block=North America,-0.09863452395640948
M0_legacy_representation,primary_training,9,spatial_block=Oceania,-0.05465647846814195
M0_legacy_representation,primary_training,9,spatial_block=South America,-0.06524724062693318
M0_legacy_representation,primary_training,9,income_group=Low-income countries,-0.0008400849203410582
M0_legacy_representation,primary_training,9,income_group=Lower-middle-income countries,-0.014039552988173516
M0_legacy_representation,primary_training,9,income_group=Upper-middle-income countries,-0.014996623065585902
M0_legacy_representation,primary_training,10,intercept,0.01576841045829005
M0_legacy_representation,primary_training,10,cum_co2_per_capita,0.04371775036727762
M0_legacy_representation,primary_training,10,cum_co2_total,-0.025368583210255948
M0_legacy_representation,primary_training,10,abs_latitude,0.0009571756902164104
M0_legacy_representation,primary_training,10,elevation,-3.792423532863163e-06
M0_legacy_representation,primary_training,10,continentality,5.1145803497644266e-05
M0_legacy_representation,primary_training,10,population,0.025524129172206086
M0_legacy_representation,primary_training,10,station_density,-0.0014078234994415648
M0_legacy_representation,primary_training,10,climate_zone=B,0.007170349906782554
M0_legacy_representation,primary_training,10,climate_zone=C,-0.01952503287033802
M0_legacy_representation,primary_training,10,climate_zone=D,-0.0043636566370760625
M0_legacy_representation,primary_training,10,climate_zone=E,-0.0895217960834874
M0_legacy_representation,primary_training,10,hemisphere=S,-0.040650143966414726
M0_legacy_representation,primary_training,10,spatial_block=Asia,-0.056025363272594705
M0_legacy_representation,primary_training,10,spatial_block=Europe,-0.0656749838894374
M0_legacy_representation,primary_training,10,spatial_block=North America,-0.093882308782462
M0_legacy_representation,primary_training,10,spatial_block=Oceania,-0.04604095088011092
M0_legacy_representation,primary_training,10,spatial_block=South America,-0.055533164345159064
M0_legacy_representation,primary_training,10,income_group=Low-income countries,0.012533360546376382
M0_legacy_representation,primary_training,10,income_group=Lower-middle-income countries,-0.008986776978567357
M0_legacy_representation,primary_training,10,income_group=Upper-middle-income countries,-0.013161522431826134
M0_legacy_representation,primary_training,11,intercept,0.013998112749675109
M0_legacy_representation,primary_training,11,cum_co2_per_capita,0.03941962845248332
M0_legacy_representation,primary_training,11,cum_co2_total,-0.021089522094206257
M0_legacy_representation,primary_training,11,abs_latitude,0.0010419112741446323
M0_legacy_representation,primary_training,11,elevation,2.5749793163740207e-07
M0_legacy_representation,primary_training,11,continentality,4.2180873703235634e-05
M0_legacy_representation,primary_training,11,population,0.02347952595136313
M0_legacy_representation,primary_training,11,station_density,-0.0016645376019075104
M0_legacy_representation,primary_training,11,climate_zone=B,0.006151620480176097
M0_legacy_representation,primary_training,11,climate_zone=C,-0.022045189794472776
M0_legacy_representation,primary_training,11,climate_zone=D,-0.007230366093002591
M0_legacy_representation,primary_training,11,climate_zone=E,-0.09176845615975728
M0_legacy_representation,primary_training,11,hemisphere=S,-0.02022365872970386
M0_legacy_representation,primary_training,11,spatial_block=Asia,-0.04510202890406825
M0_legacy_representation,primary_training,11,spatial_block=Europe,-0.05373078440884547
M0_legacy_representation,primary_training,11,spatial_block=North America,-0.08181887176971592
M0_legacy_representation,primary_training,11,spatial_block=Oceania,-0.05438648563681243
M0_legacy_representation,primary_training,11,spatial_block=South America,-0.05986531694770494
M0_legacy_representation,primary_training,11,income_group=Low-income countries,0.00933331141840223
M0_legacy_representation,primary_training,11,income_group=Lower-middle-income countries,-0.008335032998562942
M0_legacy_representation,primary_training,11,income_group=Upper-middle-income countries,-0.012863427647197981
M0_legacy_representation,primary_training,12,intercept,0.014735913825440825
M0_legacy_representation,primary_training,12,cum_co2_per_capita,0.03814257136330174
M0_legacy_representation,primary_training,12,cum_co2_total,-0.023821751388219854
M0_legacy_representation,primary_training,12,abs_latitude,0.0011771890756447025
M0_legacy_representation,primary_training,12,elevation,-8.26850422140666e-07
M0_legacy_representation,primary_training,12,continentality,4.348143254928828e-05
M0_legacy_representation,primary_training,12,population,0.02645116020111733
M0_legacy_representation,primary_training,12,station_density,-0.0016310482652002088
M0_legacy_representation,primary_training,12,climate_zone=B,0.0021356231923678054
M0_legacy_representation,primary_training,12,climate_zone=C,-0.025587176423250164
M0_legacy_representation,primary_training,12,climate_zone=D,-0.010063724962066275
M0_legacy_representation,primary_training,12,climate_zone=E,-0.09734020433004899
M0_legacy_representation,primary_training,12,hemisphere=S,-0.02658743506304088
M0_legacy_representation,primary_training,12,spatial_block=Asia,-0.055128868346946684
M0_legacy_representation,primary_training,12,spatial_block=Europe,-0.0648606567700939
M0_legacy_representation,primary_training,12,spatial_block=North America,-0.09293680823229382
M0_legacy_representation,primary_training,12,spatial_block=Oceania,-0.05813624622836987
M0_legacy_representation,primary_training,12,spatial_block=South America,-0.06404204294872774
M0_legacy_representation,primary_training,12,income_group=Low-income countries,-0.0037777025523157946
M0_legacy_representation,primary_training,12,income_group=Lower-middle-income countries,-0.012476908348238457
M0_legacy_representation,primary_training,12,income_group=Upper-middle-income countries,-0.015638216445420447
M0_legacy_representation,primary_training,13,intercept,0.014075055130474972
M0_legacy_representation,primary_training,13,cum_co2_per_capita,0.04128474450188143
M0_legacy_representation,primary_training,13,cum_co2_total,-0.019531104777069395
M0_legacy_representation,primary_training,13,abs_latitude,0.0011281654401828153
M0_legacy_representation,primary_training,13,elevation,-2.313137918441466e-06
M0_legacy_representation,primary_training,13,continentality,3.480953703002424e-05
M0_legacy_representation,primary_training,13,population,0.023634481503899712
M0_legacy_representation,primary_training,13,station_density,-0.0016715097134825693
M0_legacy_representation,primary_training,13,climate_zone=B,0.017049365832431544
M0_legacy_representation,primary_training,13,climate_zone=C,-0.020340558141118986
M0_legacy_representation,primary_training,13,climate_zone=D,-0.007001298064868024
