weights,family,representation,theta,loglik
land,sem,primary_total_co2,0.3700000000000001,341.4724963186129
land,sem,primary_total_co2,0.3800000000000001,341.9062978143458
land,sem,primary_total_co2,0.3900000000000001,342.33887120650434
land,sem,primary_total_co2,0.40000000000000013,342.7701142069119
land,sem,primary_total_co2,0.41000000000000014,343.19991979242724
land,sem,primary_total_co2,0.41999999999999993,343.62817604984355
land,sem,primary_total_co2,0.42999999999999994,344.0547660229782
land,sem,primary_total_co2,0.43999999999999995,344.4795675634477
land,sem,primary_total_co2,0.44999999999999996,344.90245318691314
land,sem,primary_total_co2,0.45999999999999996,345.3232899369302
land,sem,primary_total_co2,0.47,345.7419392589392
land,sem,primary_total_co2,0.48,346.1582568874197
land,sem,primary_total_co2,0.49,346.5720927498085
land,sem,primary_total_co2,0.5,346.98329089145716
land,sem,primary_total_co2,0.51,347.39168942673064
land,sem,primary_total_co2,0.52,347.7971205223133
land,sem,primary_total_co2,0.53,348.19941041996424
land,sem,primary_total_co2,0.54,348.59837950735994
land,sem,primary_total_co2,0.55,348.99384244735495
land,sem,primary_total_co2,0.56,349.38560837802544
land,sem,primary_total_co2,0.5700000000000001,349.77348119832897
land,sem,primary_total_co2,0.5800000000000001,350.1572599571991
land,sem,primary_total_co2,0.5900000000000001,350.53673936753506
land,sem,primary_total_co2,0.6000000000000001,350.91171047097777
land,sem,primary_total_co2,0.6100000000000001,351.2819614847828
land,sem,primary_total_co2,0.6200000000000001,351.64727886874726
land,sem,primary_total_co2,0.6300000000000001,352.00744865830484
land,sem,primary_total_co2,0.6400000000000001,352.36225811995666
land,sem,primary_total_co2,0.6500000000000001,352.71149779761305
land,sem,primary_total_co2,0.6600000000000001,353.0549640337696
land,sem,primary_total_co2,0.6700000000000002,353.39246206846934
land,sem,primary_total_co2,0.6799999999999999,353.7238098426192
land,sem,primary_total_co2,0.69,354.0488426615985
land,sem,primary_total_co2,0.7,354.36741891161614
land,sem,primary_total_co2,0.71,354.67942706670993
land,sem,primary_total_co2,0.72,354.98479428071545
land,sem,primary_total_co2,0.73,355.28349692846183
land,sem,primary_total_co2,0.74,355.57557354665647
land,sem,primary_total_co2,0.75,355.86114073033104
land,sem,primary_total_co2,0.76,356.1404126679082
land,sem,primary_total_co2,0.77,356.41372514815555
land,sem,primary_total_co2,0.78,356.6815650434625
land,sem,primary_total_co2,0.79,356.9446064568608
land,sem,primary_total_co2,0.8,357.2037548917399
land,sem,primary_total_co2,0.81,357.46020091285516
land,sem,primary_total_co2,0.8200000000000001,357.7154847136037
land,sem,primary_total_co2,0.8300000000000001,357.9715725923534
land,sem,primary_total_co2,0.8400000000000001,358.23094520344284
land,sem,primary_total_co2,0.8500000000000001,358.4966949118929
land,sem,primary_total_co2,0.8600000000000001,358.77262442302884
land,sem,primary_total_co2,0.8700000000000001,359.0633289005457
land,sem,primary_total_co2,0.8800000000000001,359.37422521994966
land,sem,primary_total_co2,0.8900000000000001,359.7114583476041
land,sem,primary_total_co2,0.9000000000000001,360.08155550957673
land,sem,primary_total_co2,0.9100000000000001,360.4905976774493
land,sem,primary_total_co2,0.9200000000000002,360.9425130705516
land,sem,primary_total_co2,0.9299999999999999,361.4358454381
land,sem,primary_total_co2,0.94,361.9579975824299
land,sem,primary_total_co2,0.95,362.475498328495
land,sem,primary_total_co2,0.96,362.9181611577612
land,sem,primary_total_co2,0.97,363.1527738658655
land,sem,primary_total_co2,0.98,362.92884445817623
land,sem,primary_total_co2,0.99,361.67406928221266
land,sar,primary_total_co2,-0.99,254.47354655609666
land,sar,primary_total_co2,-0.98,255.15285425631637
land,sar,primary_total_co2,-0.97,255.83303400068323
land,sar,primary_total_co2,-0.96,256.5140884104491
land,sar,primary_total_co2,-0.95,257.1960199402858
land,sar,primary_total_co2,-0.94,257.87883087362445
land,sar,primary_total_co2,-0.9299999999999999,258.5625233178481
land,sar,primary_total_co2,-0.9199999999999999,259.2470991993369
land,sar,primary_total_co2,-0.91,259.9325602583578
land,sar,primary_total_co2,-0.9,260.61890804379925
land,sar,primary_total_co2,-0.89,261.3061439077444
land,sar,primary_total_co2,-0.88,261.99426899987816
land,sar,primary_total_co2,-0.87,262.6832842617266
land,sar,primary_total_co2,-0.86,263.37319042072113
land,sar,primary_total_co2,-0.85,264.0639879840848
land,sar,primary_total_co2,-0.84,264.7556772325365
land,sar,primary_total_co2,-0.83,265.4482582138073
land,sar,primary_total_co2,-0.82,266.1417307359636
land,sar,primary_total_co2,-0.81,266.83609436053473
land,sar,primary_total_co2,-0.8,267.53134839543657
land,sar,primary_total_co2,-0.79,268.2274918876884
land,sar,primary_total_co2,-0.78,268.9245236159173
land,sar,primary_total_co2,-0.77,269.62244208264275
land,sar,primary_total_co2,-0.76,270.32124550633955
land,sar,primary_total_co2,-0.75,271.02093181326853
land,sar,primary_total_co2,-0.74,271.72149862907395
land,sar,primary_total_co2,-0.73,272.4229432701378
land,sar,primary_total_co2,-0.72,273.1252627346875
